gene	TS001	TS002	TS003	TS004	TS005	TS006	TS007	TS008	TS009	TS010	TS011	TS012	TS003-2
CHMP1B	303	458	676	547	489	485	568	558	322	971	704	608	662
TCOF1	261	740	626	577	397	727	311	420	284	544	519	399	674
NSRP1	374	609	531	576	294	647	260	361	276	384	363	370	604
SPPL3	1048	1135	1098	1189	587	1228	642	626	455	891	773	685	1111
OPA3	224	432	369	333	213	312	268	258	219	426	342	281	394
OPA1	272	416	562	473	358	593	488	453	328	716	549	412	639
ITGA8	0	2	13	12	15	14	2	23	8	2	4	6	12
ITGA9	26	92	90	211	138	242	136	232	285	319	159	123	108
ITGA1	15	45	56	47	71	155	27	102	71	62	51	40	57
ITGA2	15	26	18	27	87	22	35	38	19	42	53	10	22
ITGA3	67	112	195	354	464	416	312	457	316	536	303	276	210
ITGA4	3	7	10	14	17	21	12	14	10	7	10	12	9
ITGA5	26	60	62	127	90	268	43	185	130	53	68	101	63
ITGA6	703	915	1784	1770	2684	1340	2901	2553	1547	3764	3111	2784	1920
ITGA7	254	343	303	439	171	998	178	325	369	234	281	371	312
TRHR	0	0	0	0	0	0	1	0	0	0	1	1	0
UFSP2	457	540	523	515	203	439	269	250	179	501	347	295	539
FAM212B	89	200	259	351	436	251	390	383	224	539	386	444	258
FAM212A	26	24	30	30	19	52	9	15	19	23	13	16	36
CHST9	103	101	186	156	263	123	332	261	161	492	393	331	221
CHST8	35	80	22	8	1	4	0	0	4	0	1	1	28
CHST1	173	240	96	127	38	129	23	38	30	34	30	77	78
CHST3	572	1163	2081	2236	3493	1270	3979	3098	2553	6822	4714	3816	2088
CHST2	62	117	88	129	81	171	71	65	65	90	117	135	88
CHST5	12	26	25	21	14	14	19	9	18	17	16	15	15
CHST4	0	2	4	7	2	6	4	9	8	5	12	6	6
CHST7	23	48	22	77	68	97	39	51	84	55	78	83	19
CHST6	22	90	40	48	130	120	62	127	35	71	153	62	45
ITGAX	3	9	10	50	45	45	14	45	13	21	26	30	10
BCL2A1	1	4	3	3	1	4	0	9	4	0	5	2	3
ITGAV	372	448	982	846	1338	899	1463	1462	786	2091	1700	1149	1068
ITGAL	10	38	31	50	23	43	16	16	17	17	8	22	32
ITGAM	13	54	45	63	72	95	44	102	66	56	64	76	63
ITGAD	0	4	1	5	4	6	2	2	1	3	1	1	1
SPR	86	95	139	138	81	160	81	99	76	171	110	137	120
IGF2R	428	1131	1670	1426	1772	1427	2153	1925	1181	2595	3193	2320	1692
SLC36A4	28	54	88	84	127	91	98	124	65	217	171	83	102
SLC36A3	77	171	95	126	0	45	0	0	1	1	1	0	98
