"","logFC","logCPM","PValue","FDR"
"MAGEC2",-9.96336686862702,5.10852331880112,3.02041943451619e-97,7.460436003255e-95
"SLC2A14",-6.99362938966593,5.25768785659315,2.33043850304526e-58,2.8780915512609e-56
"TJP3",-6.82502182929328,4.58977318952145,2.80676076860841e-45,2.31089969948759e-43
"GLDC",-5.98855172201359,2.83304870004492,9.63732571575493e-33,5.95104862947867e-31
"RHPN1",-4.2079312759397,4.20610561073404,1.82885793135049e-31,9.03455818087141e-30
"MAGEB16",-8.44885150689892,2.21254823539288,1.51761200550334e-28,6.24750275598876e-27
"TLE1",-2.48673736724715,5.59838346617922,2.45776690250019e-26,8.67240607025067e-25
"WNT7A",-7.51780958644409,1.92097738281837,1.65119182207657e-25,5.0980547506614e-24
"GJB2",-6.04591481889796,1.23782163632351,1.81831399668823e-22,4.99026174646659e-21
"PIK3CG",-4.53666050659452,3.49670760814556,2.53585332160105e-22,6.26355770435459e-21
"SYT5",-6.35383723625644,2.3625987463967,4.76365853933659e-22,1.06965787201467e-20
"ACTN3",-5.84774895662901,2.88349477633196,2.47109869634791e-21,5.08634481664945e-20
"RHBDL3",-4.05730416525074,2.3710581822154,6.94864931761716e-21,1.2995058180475e-19
"CLDN18",-5.24714873801703,1.81921843990454,7.36562002132188e-21,1.2995058180475e-19
"RABIF",-2.78443418290622,5.8718499590199,8.07654394679868e-20,1.32993756990618e-18
"PVRL4",-5.99036759488192,0.926474776070382,3.45907942149359e-19,5.33995385693073e-18
"MBOAT2",-3.10643034026458,3.74331086618747,9.91159197963644e-18,1.44009601115894e-16
"BMP6",-3.26431868512556,2.64326511582384,1.20526601767998e-16,1.65389281314974e-15
"GJA3",-3.90854294154551,2.20192597899272,1.43211894715496e-16,1.86175463130145e-15
"WNT3",-4.70718086084691,2.72559787641127,6.751116095888e-16,8.33762837842168e-15
"HEY1",-3.22049128213338,2.95455768218322,2.32756958145943e-15,2.73766517438323e-14
"GJB6",-6.26730019630634,0.660745348501521,1.16917758868009e-14,1.31266756547264e-13
"WNT7B",-4.87293684138877,0.483717110995263,6.4222774644064e-14,6.89696753786253e-13
"JAG2",-2.21202195449205,4.76197505371941,4.39746771363554e-13,4.52572718861658e-12
"PMAIP1",-3.30456549404393,2.13572100132139,2.87480768885879e-12,2.84030999659248e-11
"KCNG2",-5.08004307442108,0.145435509707734,1.09284919308299e-10,1.03820673342884e-09
"AXIN1",-1.73937524458341,5.47355341990439,2.44588302182986e-10,2.23753002367398e-09
"MAPK12",-2.40712591260483,3.1452995011538,1.58261604181226e-09,1.39609343688439e-08
"POU3F1",-2.97581597931841,2.4807893199344,1.76160233735265e-09,1.50039923215899e-08
"WNT2",-3.95619312870074,1.83416152792781,1.45614432127536e-08,1.19889215785004e-07
"SPTBN5",-2.11522943682778,3.11614082483038,1.24101198767613e-07,9.62864516808325e-07
"CDH1",-2.73486488813346,1.19393114129853,1.24743581124965e-07,9.62864516808325e-07
"RAB40B",-1.80647246242271,3.58115494210577,1.29071531177589e-07,9.66080854571653e-07
"RRAS2",-1.24645257241116,4.85688540027883,2.61452214435237e-07,1.89937344016187e-06
"SPTB",-1.73036282964314,3.17860556638617,3.36620991111771e-07,2.37558242298878e-06
"LAMA1",1.16032586631449,8.01349027152383,3.47584155742236e-07,2.38481351300923e-06
"FZD7",-1.7083098101126,3.64276343724065,6.52452811854978e-07,4.35556336562648e-06
"FGF8",-4.47527099027737,-0.55743882136221,7.01197808737257e-07,4.55778575679217e-06
"VDR",-1.8273396866015,2.44868530667429,7.78824430070821e-07,4.93255472378187e-06
"RAB39A",-3.21891356054767,-0.0279174049844196,8.6452141529576e-07,5.33841973945132e-06
"ARTN",-2.72152173804506,1.35541603544643,1.82467464141842e-06,1.09925521080573e-05
"DSG3",-3.28678078805422,-0.372011675629823,2.03296339853932e-06,1.19557609390289e-05
"AMOT",-1.24867832552022,4.4697843616577,2.48680857267456e-06,1.42846911035027e-05
"WNT5B",-1.6663305844928,2.65730906997573,2.62341481933677e-06,1.47268968267314e-05
"WNK4",-2.46789311396016,1.0091986898885,3.89032709089095e-06,2.13535731433348e-05
"ACTN2",1.16024991668351,6.29052157844695,4.12017338269458e-06,2.21235396853383e-05
"MYO7A",1.42961895909012,8.70342698264094,7.94181157265029e-06,4.1736754434992e-05
"DUSP5",-2.78904410037767,6.17692231406953,8.19077478914133e-06,4.21483619357898e-05
"INHBB",-1.80521260953517,6.36942731838464,8.85593891835048e-06,4.46411614863789e-05
"CDKN1A",1.09845364033006,7.994841898925,1.84559976930044e-05,9.11726286034415e-05
"CCL20",-2.86430263057477,0.0507777179864072,2.82184711724795e-05,0.000136665929011813
"FRMPD1",0.974880110255094,7.1990987546492,3.78006733602774e-05,0.000179553198461318
"HMGCS2",0.952195941821085,7.77834515931712,4.85358564764066e-05,0.000226195406597593
"NRTN",1.7869669288273,3.45771487158743,5.14813699765235e-05,0.000235479599707431
"PKN3",-1.79230735766546,2.77996409081309,5.79788852769292e-05,0.000260377902970937
"REEP1",0.844563241145858,9.31656583656806,8.22312598989252e-05,0.000362698592768474
"PKP1",-2.60763181843542,-0.591827896847964,0.00010820781684337,0.000468900539654603
"GPRASP1",1.15132732960601,6.77630259192604,0.000128884196197971,0.000548868904498254
"DKK3",0.835094026714948,8.72112095600193,0.000146930744473205,0.000608023238463033
"TSPAN15",-0.912298240233563,4.73431898999901,0.000147697952663085,0.000608023238463033
"FGF17",-2.29309754697405,0.0564079003900449,0.00015632181817816,0.000632975230983696
"RHOB",1.22864335234824,8.69437980560947,0.000164929274823441,0.000657056949699836
"HRAS",-1.20052820507912,4.53864445581124,0.000173881837603245,0.000681727204571451
"KITLG",0.968887116385589,6.61080650920421,0.000219991616571041,0.000849030145203863
"MRO",0.865287311780644,8.91471766314406,0.000253024810539812,0.000961494280051286
"RAB3D",-1.35503141591746,3.20913055909273,0.000286083274003634,0.0010706449799833
"BMP4",-1.77562694388717,1.63018643559663,0.000295393345551785,0.00108898740822822
"KCNK6",-1.48369034905247,2.69865627076014,0.000335220827627177,0.00121764035917519
"CLDN15",-1.02805074916656,4.24542604392903,0.000366803659247419,0.00129825990933289
