"","logFC","logCPM","PValue","FDR"
"MAGEC2",-9.90293869197596,5.06705047305182,1.41743299180495e-111,5.31537371926858e-109
"SLC2A14",-6.95496843357726,5.22834441751846,3.45249272778991e-64,6.47342386460609e-62
"TJP3",-6.75740933393656,4.53853622414309,8.44222280173688e-50,1.05527785021711e-47
"RHPN1",-4.16245758858583,4.1740635222181,6.98720873767791e-37,6.55050819157304e-35
"GLDC",-5.93659327646088,2.81059958726183,1.9407468943034e-35,1.45556017072755e-33
"MAGEB16",-8.37490841144427,2.1747062777002,2.55086671919038e-30,1.59429169949398e-28
"TLE1",-2.4262876559469,5.57220588186027,1.0836815349266e-27,5.80543679424965e-26
"WNT7A",-7.46159992693177,1.89944880228202,8.21551697943749e-27,3.85102358411132e-25
"GJB2",-5.99645944339268,1.22716416752161,3.89233278494813e-25,1.62180532706172e-23
"SYT5",-6.28616372004228,2.32612067927498,2.03477157948583e-23,7.63039342307187e-22
"PIK3CG",-4.49773242671743,3.47025990776865,2.35431838749049e-23,8.02608541189939e-22
"RHBDL3",-4.01106922606434,2.35211160372506,5.99676392816804e-23,1.74337776745432e-21
"ACTN3",-5.81523989562509,2.85633972749399,6.04370959384163e-23,1.74337776745432e-21
"CLDN18",-5.19470520248597,1.79810270525761,9.9352842420681e-23,2.66123685055395e-21
"HACL1",-2.61775189164296,5.07040381176913,3.04030403050466e-21,7.60076007626166e-20
"RABIF",-2.70937460543105,5.82960868310156,6.18837581539593e-21,1.45040058173342e-19
"PVRL4",-5.94943974621629,0.921570084719803,1.05955093819496e-19,2.33724471660652e-18
"MBOAT2",-3.05632985346523,3.71600756043008,1.55434398665242e-19,3.23821663885921e-18
"BMP6",-3.22276260189647,2.62701803852274,3.34641898387936e-18,6.60477431028821e-17
"GJA3",-3.84289659903709,2.17479957016121,6.51805199339705e-18,1.22213474876195e-16
"WNT3",-4.64168860249795,2.67829030831263,3.1167529662121e-17,5.33186358397429e-16
"HEY1",-3.17570027063735,2.92533487361182,3.12802663593158e-17,5.33186358397429e-16
"GJB6",-6.18078824003162,0.643253080029669,3.11719718076198e-15,5.0823867077641e-14
"ACAT1",-2.32591716651051,6.46222790779263,1.65057633678793e-14,2.57902552623114e-13
"WNT7B",-4.81967814389611,0.481530013701692,1.2274864030529e-13,1.77202376501806e-12
"JAG2",-2.16006099507883,4.74197312234524,1.22860314374586e-13,1.77202376501806e-12
"MSRA",-2.44627929780611,3.85912517950357,1.47879912141266e-13,2.0538876686287e-12
"PMAIP1",-3.23859991433187,2.11791087041831,9.77820693475273e-13,1.30958128590438e-11
"KCNG2",-5.01869014447842,0.136660858808286,1.47279688038575e-11,1.90447872463674e-10
"AXIN1",-1.69064836897982,5.45074233062503,2.24977243164746e-11,2.81221553955933e-10
"POU3F1",-2.92820280945596,2.46048196852855,3.85170362761624e-10,4.65931890437448e-09
"MAPK12",-2.34913373889433,3.12188132268153,5.76814881903865e-10,6.75954939731092e-09
"MRPL14",-1.76046088476251,5.57631657159048,1.26064039052999e-09,1.43254589832953e-08
"WNT2",-3.8790225963482,1.80119062750102,5.7322678968483e-09,6.32235429799445e-08
"ACADVL",-1.41234221476635,7.58635611768412,6.65493183437187e-09,7.13028410825557e-08
"PXK",-1.89642338234569,3.49918895454453,1.19004796986339e-08,1.23963330194104e-07
"PXMP2",-2.3032544268279,2.24017259833753,3.05004526872937e-08,3.09126209668517e-07
"RAB40B",-1.74688805151811,3.55675152593131,3.44656953565614e-08,3.40121993650277e-07
"RRAS2",-1.1914599134601,4.84160614917036,6.5259570763081e-08,6.27495872721932e-07
