,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,foreground_genes
1396,GO:0030258,0.00800180997067792,0.998293339137283,11,18,lipid modification,BP,HACL1;ACAT1;ACADVL;ABCG1;ECI1;ETFDH;DECR1;FGF18;CPT1C;ZFYVE21;ETFB
780,GO:0009062,0.0118838282571997,0.99801309681902,8,12,fatty acid catabolic process,BP,HACL1;ACAT1;ACADVL;ECI1;ETFDH;DECR1;CPT1C;ETFB
511,GO:0006635,0.0126739771230775,0.998207118198718,7,10,fatty acid beta-oxidation,BP,ACAT1;ACADVL;ECI1;ETFDH;DECR1;CPT1C;ETFB
2313,GO:0046488,0.0210656397831065,1,4,4,phosphatidylinositol metabolic process,BP,PLA2G16;FGF18;ZFYVE21;DPM3
865,GO:0009888,0.0219838283846338,0.99644252125878,7,10,tissue development,BP,ACAT1;RBP4;ACADVL;KRT10;PSMB10;PLA2G16;FGF18
2975,GO:0072329,0.0227497864229002,0.995250043647354,8,13,monocarboxylic acid catabolic process,BP,HACL1;ACAT1;ACADVL;ECI1;ETFDH;DECR1;CPT1C;ETFB
2397,GO:0048193,0.0309758395289052,1,3,3,Golgi vesicle transport,BP,CNIH4;USE1;TBC1D14
1683,GO:0033539,0.0359029290693521,1,3,3,fatty acid beta-oxidation using acyl-CoA dehydrogenase,BP,ACADVL;ETFDH;ETFB
1260,GO:0019395,0.0376124143452802,0.990679387785688,8,14,fatty acid oxidation,BP,HACL1;ACAT1;ACADVL;ECI1;ETFDH;DECR1;CPT1C;ETFB
1743,GO:0034440,0.0376124143452802,0.990679387785688,8,14,lipid oxidation,BP,HACL1;ACAT1;ACADVL;ECI1;ETFDH;DECR1;CPT1C;ETFB
2797,GO:0061448,0.0428680791376412,1,3,3,connective tissue development,BP,ACAT1;PLA2G16;FGF18
348,GO:0005515,0.046780661339568,0.980942859497252,29,72,protein binding,MF,HACL1;ACAT1;PXMP2;PXK;RBP4;CNIH4;ARL6IP4;NUDT7;TSFM;ABCG1;BOLA1;USE1;FADD;DEPTOR;PSMB10;LAGE3;TBC1D14;NUDT6;HNF1A;PTS;PLA2G16;LINGO1;FGF18;CPT1C;ZFYVE21;DPM3;PEPD;ETFB;IFI30
378,GO:0005759,0.0498652792922149,0.985210122089923,9,17,mitochondrial matrix,CC,ACAT1;MRPL14;ACADVL;PUS1;TSFM;ECI1;ETFDH;DECR1;ETFB
2020,GO:0043234,0.0506215957816342,0.98864085092926,7,11,protein complex,CC,PXMP2;PXK;RBP4;ETFDH;FADD;PSMB10;HNF1A
1095,GO:0016197,0.0560140774479436,1,2,2,endosomal transport,BP,TBC1D14;ZFYVE21
1120,GO:0016482,0.0560140774479436,1,2,2,cytosolic transport,BP,TBC1D14;ZFYVE21
1879,GO:0042147,0.0560140774479436,1,2,2,retrograde transport, endosome to Golgi,BP,TBC1D14;ZFYVE21
864,GO:0009887,0.056628195286387,1,3,3,animal organ morphogenesis,BP,RBP4;PSMB10;FGF18
370,GO:0005654,0.0751693131012016,0.981015042739492,6,11,nucleoplasm,CC,MSRA;ARL6IP4;PSMB10;LAGE3;TBC1D14;DECR1
5,GO:0000045,0.0776349160121906,1,1,1,autophagosome assembly,BP,TBC1D14
314,GO:0005096,0.0776349160121906,1,1,1,GTPase activator activity,MF,TBC1D14
595,GO:0006906,0.0776349160121906,1,1,1,vesicle fusion,BP,TBC1D14
901,GO:0010507,0.0776349160121906,1,1,1,negative regulation of autophagy,BP,TBC1D14
1076,GO:0016050,0.0776349160121906,1,1,1,vesicle organization,BP,TBC1D14
1099,GO:0016236,0.0776349160121906,1,1,1,macroautophagy,BP,TBC1D14
1100,GO:0016241,0.0776349160121906,1,1,1,regulation of macroautophagy,BP,TBC1D14
1430,GO:0030695,0.0776349160121906,1,1,1,GTPase regulator activity,MF,TBC1D14
1490,GO:0031338,0.0776349160121906,1,1,1,regulation of vesicle fusion,BP,TBC1D14
2088,GO:0044088,0.0776349160121906,1,1,1,regulation of vacuole organization,BP,TBC1D14
2172,GO:0044801,0.0776349160121906,1,1,1,single-organism membrane fusion,BP,TBC1D14
2402,GO:0048284,0.0776349160121906,1,1,1,organelle fusion,BP,TBC1D14
2772,GO:0060589,0.0776349160121906,1,1,1,nucleoside-triphosphatase regulator activity,MF,TBC1D14
2783,GO:0061025,0.0776349160121906,1,1,1,membrane fusion,BP,TBC1D14
2877,GO:0070925,0.0776349160121906,1,1,1,organelle assembly,BP,TBC1D14
2961,GO:0071955,0.0776349160121906,1,1,1,recycling endosome to Golgi transport,BP,TBC1D14
3019,GO:0090174,0.0776349160121906,1,1,1,organelle membrane fusion,BP,TBC1D14
3046,GO:0090630,0.0776349160121906,1,1,1,activation of GTPase activity,BP,TBC1D14
3222,GO:1902115,0.0776349160121906,1,1,1,regulation of organelle assembly,BP,TBC1D14
3353,GO:1905037,0.0776349160121906,1,1,1,autophagosome organization,BP,TBC1D14
3414,GO:2000785,0.0776349160121906,1,1,1,regulation of autophagosome assembly,BP,TBC1D14
2141,GO:0044446,0.0814763326363059,0.963169319542906,28,74,intracellular organelle part,CC,HACL1;MSRA;ACAT1;MRPL14;PXMP2;PXK;ACADVL;ARL6IP4;PUS1;NUDT7;TSFM;ABCG1;ALG5;USE1;KRT10;ECI1;ETFDH;PSMB10;LAGE3;TBC1D14;PLA2G16;DECR1;FGF18;CPT1C;ZFYVE21;DPM3;ETFB;IFI30
2104,GO:0044260,0.0867919894277644,0.960938788164835,17,40,cellular macromolecule metabolic process,BP,MSRA;MRPL14;ARL6IP4;PUS1;TSFM;ABCG1;ALG5;KRT10;LYPLAL1;FADD;DEPTOR;PSMB10;LAGE3;HNF1A;FGF18;DPM3;ETFB
1532,GO:0031974,0.0878058116620543,0.959884775842602,18,43,membrane-enclosed lumen,CC,HACL1;MSRA;ACAT1;MRPL14;ACADVL;ARL6IP4;PUS1;NUDT7;TSFM;ECI1;ETFDH;PSMB10;LAGE3;TBC1D14;DECR1;FGF18;ETFB;IFI30
2019,GO:0043233,0.0878058116620543,0.959884775842602,18,43,organelle lumen,CC,HACL1;MSRA;ACAT1;MRPL14;ACADVL;ARL6IP4;PUS1;NUDT7;TSFM;ECI1;ETFDH;PSMB10;LAGE3;TBC1D14;DECR1;FGF18;ETFB;IFI30
2809,GO:0070013,0.0878058116620543,0.959884775842602,18,43,intracellular organelle lumen,CC,HACL1;MSRA;ACAT1;MRPL14;ACADVL;ARL6IP4;PUS1;NUDT7;TSFM;ECI1;ETFDH;PSMB10;LAGE3;TBC1D14;DECR1;FGF18;ETFB;IFI30
2763,GO:0060429,0.0910884955575541,0.985290026603194,4,6,epithelium development,BP,ACAT1;ACADVL;KRT10;PSMB10
2012,GO:0043226,0.0938476942170653,0.977529153238404,39,110,organelle,CC,HACL1;MSRA;ACAT1;MRPL14;PXMP2;PXK;RBP4;ACADVL;TMEM160;CNIH4;ARL6IP4;PUS1;NUDT7;TSFM;ABCG1;ALG5;BOLA1;USE1;KRT10;ECI1;ETFDH;LYPLAL1;CCDC51;FADD;PSMB10;LAGE3;TBC1D14;NUDT6;HNF1A;PTS;PLA2G16;DECR1;FGF18;CPT1C;ZFYVE21;DPM3;PEPD;ETFB;IFI30
2013,GO:0043227,0.0972470295722014,0.971140512036718,38,106,membrane-bounded organelle,CC,HACL1;MSRA;ACAT1;MRPL14;PXMP2;RBP4;ACADVL;TMEM160;CNIH4;ARL6IP4;PUS1;NUDT7;TSFM;ABCG1;ALG5;BOLA1;USE1;KRT10;ECI1;ETFDH;LYPLAL1;CCDC51;FADD;PSMB10;LAGE3;TBC1D14;NUDT6;HNF1A;PTS;PLA2G16;DECR1;FGF18;CPT1C;ZFYVE21;DPM3;PEPD;ETFB;IFI30
2126,GO:0044422,0.0992723570657749,0.953511002966936,28,75,organelle part,CC,HACL1;MSRA;ACAT1;MRPL14;PXMP2;PXK;ACADVL;ARL6IP4;PUS1;NUDT7;TSFM;ABCG1;ALG5;USE1;KRT10;ECI1;ETFDH;PSMB10;LAGE3;TBC1D14;PLA2G16;DECR1;FGF18;CPT1C;ZFYVE21;DPM3;ETFB;IFI30
1075,GO:0016043,0.102446559162662,0.957345214920681,12,26,cellular component organization,BP,HACL1;ACAT1;MRPL14;PUS1;ABCG1;FADD;DEPTOR;TBC1D14;HNF1A;PLA2G16;DECR1;LINGO1
1080,GO:0016054,0.102500984688537,0.964918096710125,8,16,organic acid catabolic process,BP,HACL1;ACAT1;ACADVL;ECI1;ETFDH;DECR1;CPT1C;ETFB
2291,GO:0046395,0.102500984688537,0.964918096710125,8,16,carboxylic acid catabolic process,BP,HACL1;ACAT1;ACADVL;ECI1;ETFDH;DECR1;CPT1C;ETFB
364,GO:0005622,0.103100352911769,0.974914995240081,39,111,intracellular,CC,HACL1;MSRA;ACAT1;MRPL14;PXMP2;PXK;RBP4;ACADVL;TMEM160;CNIH4;ARL6IP4;PUS1;NUDT7;TSFM;ABCG1;ALG5;BOLA1;USE1;KRT10;ECI1;ETFDH;LYPLAL1;CCDC51;FADD;DEPTOR;PSMB10;LAGE3;TBC1D14;NUDT6;HNF1A;PTS;PLA2G16;DECR1;FGF18;CPT1C;ZFYVE21;DPM3;ETFB;IFI30
2127,GO:0044424,0.103100352911769,0.974914995240081,39,111,intracellular part,CC,HACL1;MSRA;ACAT1;MRPL14;PXMP2;PXK;RBP4;ACADVL;TMEM160;CNIH4;ARL6IP4;PUS1;NUDT7;TSFM;ABCG1;ALG5;BOLA1;USE1;KRT10;ECI1;ETFDH;LYPLAL1;CCDC51;FADD;DEPTOR;PSMB10;LAGE3;TBC1D14;NUDT6;HNF1A;PTS;PLA2G16;DECR1;FGF18;CPT1C;ZFYVE21;DPM3;ETFB;IFI30
2006,GO:0043170,0.107781100259819,0.948177279526734,19,47,macromolecule metabolic process,BP,MSRA;MRPL14;ARL6IP4;PUS1;TSFM;ABCG1;ALG5;USE1;KRT10;LYPLAL1;FADD;DEPTOR;PSMB10;LAGE3;HNF1A;FGF18;DPM3;PEPD;ETFB
