,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,foreground_genes
1916,GO:0042446,0.00965643897287177,0.999175182271272,5,7,hormone biosynthetic process,BP,CYP11A1;HSD3B2;HSD17B3;HSD17B11;DHCR7
1098,GO:0016229,0.0134474092385171,0.99945506472175,3,4,steroid dehydrogenase activity,MF,HSD3B2;HSD17B3;HSD17B11
1691,GO:0033764,0.0134474092385171,0.99945506472175,3,4,steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,MF,HSD3B2;HSD17B3;HSD17B11
950,GO:0010817,0.0141121922228709,0.998390462880758,5,8,regulation of hormone levels,BP,CYP11A1;HSD3B2;HSD17B3;HSD17B11;DHCR7
1915,GO:0042445,0.0141121922228709,0.998390462880758,5,8,hormone metabolic process,BP,CYP11A1;HSD3B2;HSD17B3;HSD17B11;DHCR7
718,GO:0008209,0.0276472602931249,0.998492610545968,3,4,androgen metabolic process,BP,HSD3B2;HSD17B3;HSD17B11
1135,GO:0016614,0.030587590647074,0.994807965354884,5,10,oxidoreductase activity, acting on CH-OH group of donors,MF,HSD3B2;HSD17B3;AOX1;HSD17B11;BDH2
9,GO:0000122,0.0307138469634184,1,1,1,negative regulation of transcription from RNA polymerase II promoter,BP,IFI27
49,GO:0001085,0.0307138469634184,1,1,1,RNA polymerase II transcription factor binding,MF,IFI27
51,GO:0001102,0.0307138469634184,1,1,1,RNA polymerase II activating transcription factor binding,MF,IFI27
349,GO:0005521,0.0307138469634184,1,1,1,lamin binding,MF,IFI27
368,GO:0005637,0.0307138469634184,1,1,1,nuclear inner membrane,CC,IFI27
507,GO:0006611,0.0307138469634184,1,1,1,protein export from nucleus,BP,IFI27
702,GO:0008134,0.0307138469634184,1,1,1,transcription factor binding,MF,IFI27
1687,GO:0033613,0.0307138469634184,1,1,1,activating transcription factor binding,MF,IFI27
2251,GO:0045892,0.0307138469634184,1,1,1,negative regulation of transcription, DNA-templated,BP,IFI27
2341,GO:0046825,0.0307138469634184,1,1,1,regulation of protein export from nucleus,BP,IFI27
2577,GO:0051168,0.0307138469634184,1,1,1,nuclear export,BP,IFI27
3297,GO:1903507,0.0307138469634184,1,1,1,negative regulation of nucleic acid-templated transcription,BP,IFI27
1527,GO:0031965,0.0320002145146991,1,2,2,nuclear membrane,CC,DHCR7;IFI27
533,GO:0006694,0.0340970660929942,0.99440848279166,5,9,steroid biosynthetic process,BP,CYP11A1;HSD3B2;HSD17B3;HSD17B11;DHCR7
1766,GO:0034754,0.0363035370307512,0.995249775802999,4,7,cellular hormone metabolic process,BP,CYP11A1;HSD3B2;HSD17B3;HSD17B11
1137,GO:0016616,0.0364451470641733,0.994742506762358,4,8,oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,MF,HSD3B2;HSD17B3;HSD17B11;BDH2
777,GO:0009058,0.041901811656178,0.985124423576501,16,56,biosynthetic process,BP,ACSF2;PNP;HEXB;MRI1;CYP11A1;HSD3B2;TICAM1;ACCS;RBMS3;HSD17B3;PDK4;HSD17B11;DHCR7;BDH2;IFI27;RNASEL
3170,GO:1901362,0.0581305982085281,0.979924202848579,10,30,organic cyclic compound biosynthetic process,BP,PNP;HEXB;CYP11A1;HSD3B2;TICAM1;HSD17B3;HSD17B11;DHCR7;IFI27;RNASEL
3179,GO:1901576,0.0692060299885727,0.972839465320816,15,54,organic substance biosynthetic process,BP,ACSF2;PNP;HEXB;MRI1;CYP11A1;HSD3B2;TICAM1;RBMS3;HSD17B3;PDK4;HSD17B11;DHCR7;BDH2;IFI27;RNASEL
