,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,foreground_genes
3143,GO:0043228,0.00296497869784105,0.999034778197578,21,48,non-membrane-bounded organelle,CC,ACTN2;MYO7A;CDKN1A;FRMPD1;KITLG;MRO;PHLDA1;PLEKHH2;CAMSAP3;SDC4;PRKACB;HMGN5;PTPN7;ACSL4;FHOD3;ESPN;MARK4;PDE4B;CGN;UNC119;WT1
3147,GO:0043232,0.00296497869784105,0.999034778197578,21,48,intracellular non-membrane-bounded organelle,CC,ACTN2;MYO7A;CDKN1A;FRMPD1;KITLG;MRO;PHLDA1;PLEKHH2;CAMSAP3;SDC4;PRKACB;HMGN5;PTPN7;ACSL4;FHOD3;ESPN;MARK4;PDE4B;CGN;UNC119;WT1
4083,GO:0051017,0.00420384177028739,0.999796074726242,5,6,actin filament bundle assembly,BP,PIK3R1;ITGB5;SDC4;ESPN;CTGF
4754,GO:0061572,0.00420384177028739,0.999796074726242,5,6,actin filament bundle organization,BP,PIK3R1;ITGB5;SDC4;ESPN;CTGF
687,GO:0005813,0.00870005463517926,0.99922848016626,5,7,centrosome,CC,CAMSAP3;PRKACB;MARK4;PDE4B;UNC119
1002,GO:0007266,0.0105046458682262,1,3,3,Rho protein signal transduction,BP,RHOB;RHOJ;ITGA3
655,GO:0005730,0.0141461818844879,0.999182842459489,4,5,nucleolus,CC,CDKN1A;MRO;PHLDA1;WT1
1001,GO:0007265,0.0146690568310064,0.997989469550337,5,9,Ras protein signal transduction,BP,CDKN1A;RHOB;KITLG;RHOJ;ITGA3
1959,GO:0030038,0.0147450165139565,0.99913633838456,4,5,contractile actin filament bundle assembly,BP,PIK3R1;ITGB5;SDC4;CTGF
3117,GO:0043149,0.0147450165139565,0.99913633838456,4,5,stress fiber assembly,BP,PIK3R1;ITGB5;SDC4;CTGF
931,GO:0007015,0.0157001591571802,0.996855411935548,8,13,actin filament organization,BP,ACTN2;PLEKHH2;PIK3R1;ITGB5;SDC4;FHOD3;ESPN;CTGF
12,GO:0000086,0.0160548964313353,1,3,3,G2/M transition of mitotic cell cycle,BP,CDKN1A;PHLDA1;FOXO4
3409,GO:0044839,0.0160548964313353,1,3,3,cell cycle G2/M phase transition,BP,CDKN1A;PHLDA1;FOXO4
946,GO:0007050,0.0217806211376491,0.997204924713648,4,8,cell cycle arrest,BP,CDKN1A;GAS6;HMGN5;FOXO4
2158,GO:0031032,0.0222237704893392,0.996154791410774,6,10,actomyosin structure organization,BP,ACTN2;PIK3R1;ITGB5;SDC4;FHOD3;CTGF
4913,GO:0071156,0.0284965426327953,0.997641434464448,3,5,regulation of cell cycle arrest,BP,CDKN1A;HMGN5;FOXO4
1097,GO:0008092,0.0309811254986299,0.989290074968478,12,26,cytoskeletal protein binding,MF,ACTN2;MYO7A;REEP1;PLEKHH2;CAMSAP3;FHOD3;RAB39B;ESPN;MARK4;DAAM2;PDE4B;CGN
2574,GO:0033158,0.0350011381116786,1,2,2,regulation of protein import into nucleus, translocation,BP,CDKN1A;GAS6
590,GO:0005178,0.0369116728116207,0.994045629862305,5,8,integrin binding,MF,ACTN2;MFGE8;LAMA5;CTGF;ITGA3
2170,GO:0031091,0.0370467925994271,0.997607468767517,3,4,platelet alpha granule,CC,ACTN2;GAS6;SERPINA5
963,GO:0007160,0.0371474353143714,0.991005753455157,7,13,cell-matrix adhesion,BP,ACTN2;PIK3R1;LAMA5;ITGB5;SDC4;CTGF;ITGA3
207,GO:0001968,0.0375180467628534,0.997563730793064,3,4,fibronectin binding,MF,SDC4;CTGF;ITGA3
688,GO:0005815,0.0378962686103995,0.993176815019745,5,9,microtubule organizing center,CC,CAMSAP3;PRKACB;MARK4;PDE4B;UNC119
4371,GO:0060041,0.0399381348494218,1,2,2,retina development in camera-type eye,BP,RHOJ;DLL1
1953,GO:0030029,0.0399478477785221,0.984621422191899,13,31,actin filament-based process,BP,ACTN2;MYO7A;RHOJ;NUAK2;PLEKHH2;PIK3R1;ITGB5;SDC4;FHOD3;ESPN;DAAM2;PDE4B;CTGF
2000,GO:0030198,0.0400703563856714,0.988207368006828,9,17,extracellular matrix organization,BP,LAMA1;LAMA5;GAS6;ITGB5;ITGB8;CRISPLD2;CTGF;ITGA3;WT1
3099,GO:0043062,0.0400703563856714,0.988207368006828,9,17,extracellular structure organization,BP,LAMA1;LAMA5;GAS6;ITGB5;ITGB8;CRISPLD2;CTGF;ITGA3;WT1
2665,GO:0034605,0.0403637669669048,1,2,2,cellular response to heat,BP,CDKN1A;SLC52A3
1552,GO:0015631,0.0417321880367823,0.994880527494202,4,6,tubulin binding,MF,REEP1;CAMSAP3;MARK4;PDE4B
3419,GO:0045023,0.0452281925392619,1,2,2,G0 to G1 transition,BP,FOXO4;CTGF
4829,GO:0070316,0.0452281925392619,1,2,2,regulation of G0 to G1 transition,BP,FOXO4;CTGF
3451,GO:0045171,0.0458284227183568,1,2,2,intercellular bridge,CC,PRKACB;UNC119
2649,GO:0034349,0.0479511845492166,1,2,2,glial cell apoptotic process,BP,GAS6;DLL1
2650,GO:0034350,0.0479511845492166,1,2,2,regulation of glial cell apoptotic process,BP,GAS6;DLL1
2651,GO:0034351,0.0479511845492166,1,2,2,negative regulation of glial cell apoptotic process,BP,GAS6;DLL1
1591,GO:0016043,0.0487307589241924,0.975370885031007,35,121,cellular component organization,BP,LAMA1;ACTN2;MYO7A;CDKN1A;NRTN;REEP1;PRND;RHOJ;NUAK2;PLEKHH2;CAMSAP3;MFGE8;PIK3R1;LAMA5;GAS6;ITGB5;SDC4;SEMA6C;ITGB8;SERPINA5;HMGN5;RIN3;ACSL4;CRISPLD2;FHOD3;RAB39B;ESPN;MARK4;DAAM2;DLL1;CLDN1;CTGF;UNC119;ITGA3;WT1
5034,GO:0071840,0.0487307589241924,0.975370885031007,35,121,cellular component organization or biogenesis,BP,LAMA1;ACTN2;MYO7A;CDKN1A;NRTN;REEP1;PRND;RHOJ;NUAK2;PLEKHH2;CAMSAP3;MFGE8;PIK3R1;LAMA5;GAS6;ITGB5;SDC4;SEMA6C;ITGB8;SERPINA5;HMGN5;RIN3;ACSL4;CRISPLD2;FHOD3;RAB39B;ESPN;MARK4;DAAM2;DLL1;CLDN1;CTGF;UNC119;ITGA3;WT1
2343,GO:0032231,0.0502865287336429,0.996284721490258,3,4,regulation of actin filament bundle assembly,BP,PIK3R1;SDC4;CTGF
4224,GO:0051492,0.0502865287336429,0.996284721490258,3,4,regulation of stress fiber assembly,BP,PIK3R1;SDC4;CTGF
658,GO:0005740,0.050537439356805,0.992165296057812,4,7,mitochondrial envelope,CC,HMGCS2;REEP1;SLC25A53;ACSL4
2296,GO:0031966,0.050537439356805,0.992165296057812,4,7,mitochondrial membrane,CC,HMGCS2;REEP1;SLC25A53;ACSL4
1958,GO:0030036,0.0506046540367385,0.981140133152885,11,26,actin cytoskeleton organization,BP,ACTN2;RHOJ;NUAK2;PLEKHH2;PIK3R1;ITGB5;SDC4;FHOD3;ESPN;DAAM2;CTGF
3557,GO:0045786,0.0519366358652014,0.985794875832738,6,16,negative regulation of cell cycle,BP,CDKN1A;RHOB;GAS6;PRKACB;HMGN5;FOXO4
5290,GO:0090136,0.0547187486836824,1,2,2,epithelial cell-cell adhesion,BP,CAMSAP3;ITGB5
1218,GO:0009314,0.0556675398713058,0.990177245861322,4,8,response to radiation,BP,CDKN1A;RHOB;PIK3R1;UNC119
2175,GO:0031100,0.0573251994056978,0.995506353977548,3,4,animal organ regeneration,BP,CDKN1A;GAS6;CLDN1
3020,GO:0042493,0.0593460910184226,0.986266092912437,5,11,response to drug,BP,CDKN1A;GAS6;PDE4B;CLDN1;ITGA3
3415,GO:0044877,0.059468458935279,0.978016753127966,10,24,macromolecular complex binding,MF,ACTN2;MYO7A;CDKN1A;MFGE8;PIK3R1;LAMA5;HMGN5;ESPN;CTGF;ITGA3
5600,GO:1901136,0.059518012881891,1,2,2,carbohydrate derivative catabolic process,BP,SDC4;PDE4B
1949,GO:0030016,0.0600621430764777,0.990086150944219,4,7,myofibril,CC,ACTN2;SDC4;FHOD3;PDE4B
4114,GO:0051130,0.0618647125119568,0.976130561985134,10,28,positive regulation of cellular component organization,BP,ACTN2;MFGE8;PIK3R1;GAS6;SDC4;ESPN;DLL1;CLDN1;CTGF;ITGA3
215,GO:0002020,0.0621003126964357,1,2,2,protease binding,MF,SERPINA5;ITGA3
5493,GO:0098858,0.0624702746680921,0.986855532029394,5,9,actin-based cell projection,CC,ACTN2;MYO7A;KITLG;ESPN;ITGA3
930,GO:0007010,0.0626847075511251,0.972552758211928,14,37,cytoskeleton organization,BP,ACTN2;RHOJ;NUAK2;PLEKHH2;CAMSAP3;PIK3R1;LAMA5;ITGB5;SDC4;FHOD3;ESPN;MARK4;DAAM2;CTGF
143,GO:0001764,0.0649471447946064,1,2,2,neuron migration,BP,GAS6;ITGA3
547,GO:0004866,0.0663001797961582,0.996235770195395,2,3,endopeptidase inhibitor activity,MF,GAS6;SERPINA5
2048,GO:0030414,0.0663001797961582,0.996235770195395,2,3,peptidase inhibitor activity,MF,GAS6;SERPINA5
4684,GO:0061134,0.0663001797961582,0.996235770195395,2,3,peptidase regulator activity,MF,GAS6;SERPINA5
4685,GO:0061135,0.0663001797961582,0.996235770195395,2,3,endopeptidase regulator activity,MF,GAS6;SERPINA5
4315,GO:0052548,0.0675650553719652,0.990572701643021,3,6,regulation of endopeptidase activity,BP,GAS6;SERPINA5;CTGF
1167,GO:0008630,0.0676875625218567,1,2,2,intrinsic apoptotic signaling pathway in response to DNA damage,BP,CDKN1A;PIK3R1
2674,GO:0034644,0.0676875625218567,1,2,2,cellular response to UV,BP,CDKN1A;PIK3R1
684,GO:0005801,0.0698311315682525,1,2,2,cis-Golgi network,CC,PIK3R1;CTGF
1052,GO:0007568,0.0698509076344553,0.985777237751784,4,9,aging,BP,CDKN1A;FOXO4;CLDN1;CTGF
3274,GO:0043954,0.0715871018294197,1,2,2,cellular component maintenance,BP,CAMSAP3;ITGA3
2453,GO:0032640,0.0723524483375567,1,2,2,tumor necrosis factor production,BP,PIK3R1;GAS6
2465,GO:0032680,0.0723524483375567,1,2,2,regulation of tumor necrosis factor production,BP,PIK3R1;GAS6
4396,GO:0060090,0.0723524483375567,1,2,2,binding, bridging,MF,PIK3R1;GAS6
5017,GO:0071706,0.0723524483375567,1,2,2,tumor necrosis factor superfamily cytokine production,BP,PIK3R1;GAS6
5853,GO:1903555,0.0723524483375567,1,2,2,regulation of tumor necrosis factor superfamily cytokine production,BP,PIK3R1;GAS6
1551,GO:0015630,0.0725310417393356,0.982121391086982,5,11,microtubule cytoskeleton,CC,CAMSAP3;PRKACB;MARK4;PDE4B;UNC119
4875,GO:0070663,0.075611958278143,0.988910946349386,3,6,regulation of leukocyte proliferation,BP,CDKN1A;KITLG;SDC4
150,GO:0001786,0.0761146291130669,0.995305140392562,2,3,phosphatidylserine binding,MF,MFGE8;GAS6
1146,GO:0008380,0.0794907895270578,1,2,2,RNA splicing,BP,PIK3R1;WT1
4225,GO:0051493,0.0797266179336885,0.972385984508563,8,18,regulation of cytoskeleton organization,BP,ACTN2;PLEKHH2;CAMSAP3;PIK3R1;SDC4;FHOD3;ESPN;CTGF
1014,GO:0007338,0.0810501693110851,0.994806377023004,2,3,single fertilization,BP,MFGE8;SERPINA5
5212,GO:0072583,0.0814761656885289,0.99476237538858,2,3,clathrin-dependent endocytosis,BP,DLL1;UNC119
5417,GO:0097458,0.0815007248476215,0.967162937565699,10,26,neuron part,CC,ACTN2;MYO7A;NRTN;ACSL4;RAB39B;ESPN;MARK4;TMEM163;PDE4B;ITGA3
1974,GO:0030100,0.0834087179051542,0.981874872207152,4,9,regulation of endocytosis,BP,MFGE8;GAS6;DLL1;UNC119
4207,GO:0051385,0.0840531257081832,0.994492991490378,2,3,response to mineralocorticoid,BP,CDKN1A;CTGF
9,GO:0000077,0.0847350734406627,0.994420785235609,2,3,DNA damage checkpoint,BP,CDKN1A;FOXO4
2246,GO:0031570,0.0847350734406627,0.994420785235609,2,3,DNA integrity checkpoint,BP,CDKN1A;FOXO4
3398,GO:0044773,0.0847350734406627,0.994420785235609,2,3,mitotic DNA damage checkpoint,BP,CDKN1A;FOXO4
3399,GO:0044774,0.0847350734406627,0.994420785235609,2,3,mitotic DNA integrity checkpoint,BP,CDKN1A;FOXO4
4915,GO:0071158,0.0847350734406627,0.994420785235609,2,3,positive regulation of cell cycle arrest,BP,CDKN1A;FOXO4
5685,GO:1901988,0.0847350734406627,0.994420785235609,2,3,negative regulation of cell cycle phase transition,BP,CDKN1A;FOXO4
5687,GO:1901991,0.0847350734406627,0.994420785235609,2,3,negative regulation of mitotic cell cycle phase transition,BP,CDKN1A;FOXO4
691,GO:0005856,0.0866655493853255,0.959747066636583,14,37,cytoskeleton,CC,ACTN2;MYO7A;FRMPD1;KITLG;PLEKHH2;CAMSAP3;PRKACB;PTPN7;FHOD3;ESPN;MARK4;PDE4B;CGN;UNC119
3090,GO:0043015,0.0871742453149511,1,2,2,gamma-tubulin binding,MF,MARK4;PDE4B
4390,GO:0060076,0.0876436871175171,1,2,2,excitatory synapse,CC,PDE4B;ITGA3
992,GO:0007229,0.0886718017617769,0.979046624045359,5,9,integrin-mediated signaling pathway,BP,LAMA5;ITGB5;ITGB8;CTGF;ITGA3
975,GO:0007179,0.0889208242921013,0.981356016254229,4,8,transforming growth factor beta receptor signaling pathway,BP,DKK3;ITGB5;CGN;ITGA3
4112,GO:0051128,0.0890398887376971,0.955103444174318,17,53,regulation of cellular component organization,BP,ACTN2;CDKN1A;RHOJ;PLEKHH2;CAMSAP3;MFGE8;PIK3R1;GAS6;SDC4;FHOD3;ESPN;DLL1;CLDN1;CTGF;UNC119;ITGA3;WT1
3350,GO:0044429,0.0894473264232847,0.981203392564057,4,8,mitochondrial part,CC,HMGCS2;REEP1;SLC25A53;ACSL4
1221,GO:0009416,0.0902538369802863,0.987655153232187,3,5,response to light stimulus,BP,CDKN1A;PIK3R1;UNC119
2952,GO:0042113,0.0905435288814093,0.987596954877237,3,5,B cell activation,BP,CDKN1A;PIK3R1;DLL1
138,GO:0001755,0.0930368792950532,0.987092080859638,3,5,neural crest cell migration,BP,NRTN;KITLG;LAMA5
3993,GO:0050764,0.0946312187956854,0.993330074553323,2,3,regulation of phagocytosis,BP,MFGE8;GAS6
3994,GO:0050766,0.0946312187956854,0.993330074553323,2,3,positive regulation of phagocytosis,BP,MFGE8;GAS6
1855,GO:0021675,0.0976822260524988,1,1,1,nerve development,BP,NRTN
4314,GO:0052547,0.0985908343331574,0.982249515382377,3,7,regulation of peptidase activity,BP,GAS6;SERPINA5;CTGF
5050,GO:0071897,0.0987662507735974,0.99285076956928,2,3,DNA biosynthetic process,BP,CDKN1A;CTGF
5773,GO:1902903,0.100918480057395,0.969928672604547,6,12,regulation of supramolecular fiber organization,BP,ACTN2;PLEKHH2;PIK3R1;SDC4;FHOD3;CTGF
6,GO:0000060,0.10179500084905,0.992490966080784,2,3,protein import into nucleus, translocation,BP,CDKN1A;GAS6
1302,GO:0010212,0.105420848671674,0.989055630221182,2,4,response to ionizing radiation,BP,CDKN1A;RHOB
4984,GO:0071479,0.105420848671674,0.989055630221182,2,4,cellular response to ionizing radiation,BP,CDKN1A;RHOB
847,GO:0006720,0.107641093427278,0.99177571653349,2,3,isoprenoid metabolic process,BP,HMGCS2;SDC4
1083,GO:0008017,0.108344195938891,0.983839411095308,3,5,microtubule binding,MF,REEP1;CAMSAP3;MARK4
808,GO:0006508,0.108868542761463,0.963309302875292,6,16,proteolysis,BP,GAS6;PRKACB;SERPINA5;DHH;FOXO4;CTGF
4983,GO:0071478,0.11052408917251,0.9807149306603,3,6,cellular response to radiation,BP,CDKN1A;RHOB;PIK3R1
1219,GO:0009408,0.110659717238498,0.991395743077066,2,3,response to heat,BP,CDKN1A;SLC52A3
4558,GO:0060627,0.111724500998969,0.962053320760423,6,16,regulation of vesicle-mediated transport,BP,ACTN2;MFGE8;GAS6;SDC4;DLL1;UNC119
2252,GO:0031589,0.113049618116037,0.956498123393654,8,19,cell-substrate adhesion,BP,ACTN2;PIK3R1;LAMA5;GAS6;ITGB5;SDC4;CTGF;ITGA3
3168,GO:0043277,0.113665914199375,0.991010152273861,2,3,apoptotic cell clearance,BP,MFGE8;GAS6
5775,GO:1902905,0.11475253553597,0.979619080720976,3,6,positive regulation of supramolecular fiber organization,BP,ACTN2;SDC4;CTGF
1678,GO:0016604,0.115066652632656,0.979536815606327,3,6,nuclear body,CC,CDKN1A;FOXO4;WT1
2398,GO:0032403,0.115559636853676,0.95195922165327,9,23,protein complex binding,MF,ACTN2;MYO7A;CDKN1A;MFGE8;PIK3R1;LAMA5;ESPN;CTGF;ITGA3
1773,GO:0019209,0.116234947134171,0.99067497049812,2,3,kinase activator activity,MF,CDKN1A;GAS6
2028,GO:0030295,0.116234947134171,0.99067497049812,2,3,protein kinase activator activity,MF,CDKN1A;GAS6
543,GO:0004857,0.116729471323747,0.979099367013186,3,6,enzyme inhibitor activity,MF,CDKN1A;GAS6;SERPINA5
660,GO:0005743,0.117316992401325,0.990532236770907,2,3,mitochondrial inner membrane,CC,HMGCS2;SLC25A53
1819,GO:0019866,0.117316992401325,0.990532236770907,2,3,organelle inner membrane,CC,HMGCS2;SLC25A53
1047,GO:0007530,0.122617107331062,0.989819773255906,2,3,sex determination,BP,DHH;WT1
953,GO:0007093,0.12339592453591,0.985876148112822,2,4,mitotic cell cycle checkpoint,BP,CDKN1A;FOXO4
2344,GO:0032233,0.124104805703309,0.989615821591158,2,3,positive regulation of actin filament bundle assembly,BP,SDC4;CTGF
4228,GO:0051496,0.124104805703309,0.989615821591158,2,3,positive regulation of stress fiber assembly,BP,SDC4;CTGF
3141,GO:0043226,0.126918042285239,0.93347297173011,45,174,organelle,CC,ACTN2;MYO7A;CDKN1A;FRMPD1;HMGCS2;REEP1;RHOB;KITLG;MRO;PHLDA1;RHOJ;NUAK2;PLEKHH2;CAMSAP3;MFGE8;CLDN11;PIK3R1;SLC25A53;LAMA5;GAS6;ITGB5;SDC4;PRKACB;ITGB8;SERPINA5;HMGN5;PTPN7;RIN3;ACSL4;CRISPLD2;FHOD3;RAB39B;FOXO4;ESPN;GPSM1;MARK4;DAAM2;TMEM163;DLL1;PDE4B;CGN;CTGF;UNC119;ITGA3;WT1
3079,GO:0042953,0.129957655995714,1,1,1,lipoprotein transport,BP,UNC119
3414,GO:0044872,0.129957655995714,1,1,1,lipoprotein localization,BP,UNC119
3561,GO:0045806,0.129957655995714,1,1,1,negative regulation of endocytosis,BP,UNC119
3785,GO:0048261,0.129957655995714,1,1,1,negative regulation of receptor-mediated endocytosis,BP,UNC119
4155,GO:0051233,0.129957655995714,1,1,1,spindle midzone,CC,UNC119
5213,GO:0072584,0.129957655995714,1,1,1,caveolin-mediated endocytosis,BP,UNC119
5559,GO:1900186,0.129957655995714,1,1,1,negative regulation of clathrin-dependent endocytosis,BP,UNC119
6102,GO:2000369,0.129957655995714,1,1,1,regulation of clathrin-dependent endocytosis,BP,UNC119
6208,GO:2001286,0.129957655995714,1,1,1,regulation of caveolin-mediated endocytosis,BP,UNC119
6209,GO:2001287,0.129957655995714,1,1,1,negative regulation of caveolin-mediated endocytosis,BP,UNC119
6062,GO:2000107,0.130618388289411,0.988702431778476,2,3,negative regulation of leukocyte apoptotic process,BP,KITLG;GAS6
1720,GO:0017015,0.133838803967426,0.988238573021576,2,3,regulation of transforming growth factor beta receptor signaling pathway,BP,DKK3;ITGA3
5887,GO:1903844,0.133838803967426,0.988238573021576,2,3,regulation of cellular response to transforming growth factor beta stimulus,BP,DKK3;ITGA3
37,GO:0000287,0.13469056707657,0.988114532680348,2,3,magnesium ion binding,MF,NUAK2;PRKACB
991,GO:0007224,0.134897219602748,0.983667293089486,2,4,smoothened signaling pathway,BP,PRKACB;DHH
3562,GO:0045807,0.136483847812446,0.973652816890099,3,6,positive regulation of endocytosis,BP,MFGE8;GAS6;DLL1
