,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,foreground_genes
1245,GO:0007409,0.00122838792719789,0.999764266657344,13,20,axonogenesis,BP,WNT7A;WNT3;SPTBN5;SPTB;FGF8;ARTN;HRAS;GDNF;BMP7;SPTBN4;PIK3CA;NOTCH1;LINGO1
3079,GO:0032990,0.00163780651829722,0.999633886264854,14,23,cell part morphogenesis,BP,WNT7A;WNT3;WNT7B;SPTBN5;SPTB;FGF8;ARTN;HRAS;GDNF;BMP7;SPTBN4;PIK3CA;NOTCH1;LINGO1
4686,GO:0048812,0.00163780651829722,0.999633886264854,14,23,neuron projection morphogenesis,BP,WNT7A;WNT3;WNT7B;SPTBN5;SPTB;FGF8;ARTN;HRAS;GDNF;BMP7;SPTBN4;PIK3CA;NOTCH1;LINGO1
4703,GO:0048858,0.00163780651829722,0.999633886264854,14,23,cell projection morphogenesis,BP,WNT7A;WNT3;WNT7B;SPTBN5;SPTB;FGF8;ARTN;HRAS;GDNF;BMP7;SPTBN4;PIK3CA;NOTCH1;LINGO1
27,GO:0000165,0.00319580100518907,0.998878035995505,22,44,MAPK cascade,BP,WNT7A;PIK3CG;BMP6;WNT7B;AXIN1;MAPK12;SPTBN5;FZD7;SPTB;FGF8;ARTN;CCL20;DUSP5;INHBB;FGF17;HRAS;BMP4;GDNF;PSMB10;BMP7;SPTBN4;FGF18
3313,GO:0035116,0.00362195808160637,1,5,5,embryonic hindlimb morphogenesis,BP,WNT7A;WNT3;FGF8;BMP4;NOTCH1
3315,GO:0035137,0.00362195808160637,1,5,5,hindlimb morphogenesis,BP,WNT7A;WNT3;FGF8;BMP4;NOTCH1
2338,GO:0021953,0.00379372434107233,0.999788063965604,6,7,central nervous system neuron differentiation,BP,WNT7A;WNT3;AXIN1;WNT2;FGF8;SPTBN4
4530,GO:0048193,0.0039099393809276,0.999626737501734,7,9,Golgi vesicle transport,BP,RABIF;SPTBN5;SPTB;CNIH4;USE1;TBC1D14;SPTBN4
2950,GO:0032526,0.00416067807331185,0.999464335549099,8,11,response to retinoic acid,BP,GJB2;BMP6;WNT3;WNT7B;WNT2;FZD7;RBP4;WNT5B
5359,GO:0060561,0.00475508355703071,1,4,4,apoptotic process involved in morphogenesis,BP,JAG2;VDR;BMP7;NOTCH1
6717,GO:1902742,0.00475508355703071,1,4,4,apoptotic process involved in development,BP,JAG2;VDR;BMP7;NOTCH1
4644,GO:0048667,0.00612919957116395,0.998361372620379,13,23,cell morphogenesis involved in neuron differentiation,BP,WNT7A;WNT3;SPTBN5;SPTB;FGF8;ARTN;HRAS;GDNF;BMP7;SPTBN4;PIK3CA;NOTCH1;LINGO1
5579,GO:0061564,0.00617277690189062,0.998348015046696,13,23,axon development,BP,WNT7A;WNT3;SPTBN5;SPTB;FGF8;ARTN;HRAS;GDNF;BMP7;SPTBN4;PIK3CA;NOTCH1;LINGO1
3362,GO:0035556,0.00706454344664442,0.99660708737121,38,93,intracellular signal transduction,BP,TLE1;WNT7A;PIK3CG;ACTN3;RABIF;BMP6;WNT7B;PMAIP1;AXIN1;MAPK12;RAB40B;RRAS2;SPTBN5;FZD7;SPTB;FGF8;AMOT;ARTN;WNK4;CCL20;DUSP5;INHBB;PKN3;FGF17;HRAS;BMP4;GDNF;DEPTOR;PSMB10;RAB38;FADD;BMP7;SPTBN4;PIK3CA;FGF18;NOTCH1;RND3;GUCY1B3
1246,GO:0007411,0.00724714827533378,0.998470931328058,10,16,axon guidance,BP,WNT3;SPTBN5;SPTB;FGF8;ARTN;HRAS;GDNF;BMP7;SPTBN4;PIK3CA
6334,GO:0097485,0.00724714827533378,0.998470931328058,10,16,neuron projection guidance,BP,WNT3;SPTBN5;SPTB;FGF8;ARTN;HRAS;GDNF;BMP7;SPTBN4;PIK3CA
122,GO:0001570,0.00809308011902683,0.999518206000103,5,6,vasculogenesis,BP,WNT7A;HEY1;WNT7B;AMOT;NOTCH1
5562,GO:0061383,0.00813452700602549,1,4,4,trabecula morphogenesis,BP,HEY1;RBP4;BMP7;NOTCH1
5563,GO:0061384,0.00813452700602549,1,4,4,heart trabecula morphogenesis,BP,HEY1;RBP4;BMP7;NOTCH1
2391,GO:0023014,0.00826230875384951,0.996721843743733,22,47,signal transduction by protein phosphorylation,BP,WNT7A;PIK3CG;BMP6;WNT7B;AXIN1;MAPK12;SPTBN5;FZD7;SPTB;FGF8;ARTN;CCL20;DUSP5;INHBB;FGF17;HRAS;BMP4;GDNF;PSMB10;BMP7;SPTBN4;FGF18
485,GO:0003206,0.00978734358397314,0.998604516419751,7,10,cardiac chamber morphogenesis,BP,HEY1;WNT2;RBP4;FGF8;BMP4;BMP7;NOTCH1
1218,GO:0007267,0.0104030118247658,0.995501142177768,25,56,cell-cell signaling,BP,TLE1;WNT7A;GJB2;SYT5;BMP6;GJA3;WNT3;WNT7B;KCNG2;AXIN1;WNT2;PXK;FZD7;RBP4;FGF8;WNT5B;CCL20;INHBB;FGF17;HRAS;BMP4;GDNF;PSMB10;FGF18;NOTCH1
2510,GO:0030326,0.0116796172756264,0.998694719997675,6,8,embryonic limb morphogenesis,BP,WNT7A;WNT3;FGF8;BMP4;BMP7;NOTCH1
3311,GO:0035113,0.0116796172756264,0.998694719997675,6,8,embryonic appendage morphogenesis,BP,WNT7A;WNT3;FGF8;BMP4;BMP7;NOTCH1
3768,GO:0043087,0.0133151588465901,0.995640686440652,14,27,regulation of GTPase activity,BP,RABIF;AXIN1;SPTBN5;SPTB;FGF8;AMOT;ARTN;CCL20;FGF17;HRAS;GDNF;TBC1D14;SPTBN4;FGF18
1249,GO:0007420,0.0143091405449621,0.995679449237505,12,23,brain development,BP,WNT7A;WNT3;ACAT1;WNT7B;AXIN1;POU3F1;WNT2;CDH1;FGF8;BMP4;BMP7;NOTCH1
790,GO:0005654,0.0152467798183966,0.994191664841446,17,36,nucleoplasm,CC,TLE1;HEY1;MSRA;POU3F1;MAPK12;ARL6IP4;VDR;DUSP5;PKP1;TBC1D14;PSMB10;SPTBN4;DECR1;LAGE3;FSTL3;NOTCH1;PM20D2
1251,GO:0007423,0.0157355424074302,0.994638971714437,14,28,sensory organ development,BP,WNT7A;GJB2;BMP6;GJB6;WNT7B;JAG2;AXIN1;WNT2;RBP4;FGF8;WNT5B;BMP4;BMP7;NOTCH1
1543,GO:0009887,0.0161867085779927,0.99310385974941,21,47,animal organ morphogenesis,BP,TLE1;WNT7A;BMP6;HEY1;GJB6;WNT7B;JAG2;AXIN1;WNT2;FZD7;RBP4;FGF8;VDR;WNK4;HRAS;BMP4;GDNF;PSMB10;BMP7;FGF18;NOTCH1
3988,GO:0044260,0.0163885460592596,0.990948226744087,56,153,cellular macromolecule metabolic process,BP,MAGEC2;TLE1;WNT7A;PIK3CG;BMP6;HEY1;WNT7B;JAG2;MSRA;PMAIP1;AXIN1;POU3F1;MAPK12;MRPL14;WNT2;RAB40B;SPTBN5;CDH1;FZD7;ARL6IP4;SPTB;FGF8;VDR;PUS1;ARTN;WNK4;CCL20;TSFM;DUSP5;INHBB;ABCG1;PKN3;FGF17;ALG5;PKP1;HRAS;BMP4;RNF144A;RAB3D;KRT10;GDNF;DEPTOR;LYPLAL1;PSMB10;FADD;BMP7;SPTBN4;PIK3CA;HNF1A;LAGE3;FGF18;FSTL3;NOTCH1;ETFB;DPM3;PM20D2
67,GO:0000904,0.0164829391726879,0.994345142128917,14,28,cell morphogenesis involved in differentiation,BP,WNT7A;WNT3;SPTBN5;FZD7;SPTB;FGF8;ARTN;HRAS;GDNF;BMP7;SPTBN4;PIK3CA;NOTCH1;LINGO1
2672,GO:0031175,0.0169037400723705,0.993896244612849,15,31,neuron projection development,BP,WNT7A;WNT3;WNT7B;SPTBN5;CDH1;SPTB;FGF8;ARTN;HRAS;GDNF;BMP7;SPTBN4;PIK3CA;NOTCH1;LINGO1
1248,GO:0007417,0.0169468463393621,0.993878427369016,15,31,central nervous system development,BP,WNT7A;WNT3;ACAT1;WNT7B;AXIN1;POU3F1;WNT2;CDH1;FGF8;BMP4;BMP7;SPTBN4;DRP2;PTS;NOTCH1
1556,GO:0009913,0.0170489104655376,0.996198861424746,8,14,epidermal cell differentiation,BP,JAG2;POU3F1;VDR;DSG3;PKP1;BMP4;KRT10;NOTCH1
1117,GO:0006935,0.0170997808262724,0.993622561512121,16,33,chemotaxis,BP,PIK3CG;WNT3;SPTBN5;SPTB;FGF8;AMOT;ARTN;CCL20;HRAS;BMP4;GDNF;BMP7;SPTBN4;PIK3CA;FGF18;NOTCH1
3616,GO:0042330,0.0170997808262724,0.993622561512121,16,33,taxis,BP,PIK3CG;WNT3;SPTBN5;SPTB;FGF8;AMOT;ARTN;CCL20;HRAS;BMP4;GDNF;BMP7;SPTBN4;PIK3CA;FGF18;NOTCH1
3788,GO:0043170,0.0173771884317572,0.990322645583773,61,169,macromolecule metabolic process,BP,MAGEC2;TLE1;WNT7A;PIK3CG;RHBDL3;BMP6;WNT3;HEY1;WNT7B;JAG2;MSRA;PMAIP1;AXIN1;POU3F1;MAPK12;MRPL14;WNT2;RAB40B;SPTBN5;CDH1;FZD7;ARL6IP4;SPTB;FGF8;VDR;PUS1;ARTN;WNK4;CCL20;TSFM;DUSP5;INHBB;ABCG1;PKN3;FGF17;ALG5;PKP1;HRAS;TSPAN15;BMP4;RNF144A;RAB3D;KRT10;GDNF;USE1;DEPTOR;LYPLAL1;PSMB10;FADD;BMP7;SPTBN4;PIK3CA;HNF1A;LAGE3;FGF18;FSTL3;NOTCH1;ETFB;DPM3;PM20D2;PEPD
4618,GO:0048598,0.0178832725299475,0.99322268364643,16,34,embryonic morphogenesis,BP,WNT7A;WNT3;GJB6;WNT7B;JAG2;AXIN1;WNT2;FZD7;RBP4;FGF8;AMOT;DUSP5;BMP4;GDNF;BMP7;NOTCH1
823,GO:0005794,0.0181006776549975,0.992885306965694,17,37,Golgi apparatus,CC,WNT7A;WNT3;WNT7B;CDH1;RAB39A;SPTB;WNT5B;ABCG1;PKN3;HRAS;RNF144A;TBC1D14;RAB38;FSTL3;NOTCH1;RND3;RAB20
3906,GO:0043547,0.0182378003669446,0.993992946313517,13,25,positive regulation of GTPase activity,BP,RABIF;AXIN1;SPTBN5;SPTB;FGF8;ARTN;CCL20;FGF17;HRAS;GDNF;TBC1D14;SPTBN4;FGF18
1319,GO:0008091,0.0182866239646303,1,3,3,spectrin,CC,SPTBN5;SPTB;SPTBN4
2532,GO:0030506,0.0182948784306089,1,3,3,ankyrin binding,MF,CDH1;SPTB;SPTBN4
5198,GO:0060070,0.0185235370530613,0.994963804945192,10,18,canonical Wnt signaling pathway,BP,WNT7A;WNT3;WNT7B;AXIN1;WNT2;FZD7;FGF8;WNT5B;PSMB10;NOTCH1
3947,GO:0043902,0.0191666279670797,1,3,3,positive regulation of multi-organism process,BP,BMP6;INHBB;NOTCH1
