,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,foreground_genes
3340,GO:0006629,3.34014045446591e-15,1,73,1307,lipid metabolic process,BP,EBP;PDK4;PECR;WNT4;PHYH;DPM3;STRA6;ZFYVE21;ITGB8;FASN;DHH;HSD17B3;APOC1;HMGCS2;ADORA1;HSD17B11;DKK3;ACSF2;EDN1;ABCG1;BDH2;MBOAT2;ACADVL;ACSM5;RGN;FADS1;GHR;FGF18;FGF10;FGF17;ASAH2;PIK3R2;PIK3R1;PDGFB;CPT2;PLA2G16;HSD17B10;ETFB;HACL1;SESN2;RBP4;CYP17A1;FGF8;SDC4;ANG;HBEGF;BMP6;BMP2;ACAT1;ECHDC2;HEXB;FABP3;HSD3B2;NUDT7;CPT1C;AKT1;PON2;PTGES;KITLG;IDH1;DECR1;STAR;PIK3CA;PIK3CG;SIN3B;GLA;ECI1;CYP11A1;DHCR7;VDR;ACSL4;ELOVL6;ETFDH
2446,GO:0005102,3.68039258768627e-15,1,76,1400,receptor binding,MF,ITGA3;ITGA5;ARTN;PECR;LIF;ADRA2C;WNT3;WNT2;WNT4;ACTN3;ACTN2;NOTCH1;RASL11B;TF;ITGB4;ITGB8;FADD;DHH;WNT6;WNT7A;WNT7B;MRAP;TRADD;ADORA1;EDN1;MFGE8;CCL20;PYCARD;FZD7;FGF18;FGF10;FGF17;PIK3R2;PIK3R1;REEP1;PDGFB;WNT5B;WNT5A;JAM3;HACL1;FGF8;CLCF1;ANG;HBEGF;BMP7;BMP6;BMP4;BMP2;IDUA;DLL1;MSN;NOL3;NUDT6;NUDT7;CTGF;NRTN;WNT2B;KITLG;IDH1;NPPC;JAG2;INHBB;PIK3CG;GAS6;GLA;S100B;SHC4;VDR;LAMA1;LAMA5;DOK1;GDNF;FZD8;CNIH4;EFNB2;LINGO1
7341,GO:0030258,1.06905320497786e-14,1,30,254,lipid modification,BP,PDK4;PHYH;ZFYVE21;APOC1;ABCG1;BDH2;ACADVL;FGF18;FGF10;FGF17;PIK3R2;PIK3R1;PDGFB;CPT2;ETFB;HACL1;SESN2;FGF8;HBEGF;ACAT1;ECHDC2;FABP3;CPT1C;AKT1;KITLG;DECR1;PIK3CA;PIK3CG;ECI1;ETFDH
11894,GO:0044763,1.41437812464946e-14,1,280,10179,single-organism cellular process,BP,ITGA3;ITGA5;ARTN;TAGLN;PDK4;PECR;FHOD3;LIF;ADRA2B;ADRA2C;SYT5;WNT3;WNT2;WNT4;USE1;POU3F1;TUBG2;ACTN3;ACTN2;RAB6C;TSPAN15;ALG5;PHYH;NOTCH1;GLDC;MARK4;RAB27A;CDH23;DPM3;STRA6;TF;ZFYVE21;IGSF8;ITGB5;ITGB4;ITGB8;FASN;PMAIP1;GADD45A;MSRA;CRISPLD2;SLC31A2;MRPL14;MRPL16;MRI1;FADD;DHH;DSC2;SERPINA5;WNT6;WNT7A;WNT7B;HSD17B3;MRAP;APOC1;ZFPM1;TRADD;SLC52A3;HMGCS2;ACVR1;SALL4;TBC1D14;GUCY1B3;ADORA1;CASQ2;HSD17B11;DKK3;EXTL1;ACSF2;EDN1;PLAU;RAB40B;RAB40A;PHLDA1;PNP;ABCG1;PRKACB;KCNK6;MFGE8;CCL20;BDH2;SPTBN5;SPTBN4;PYCARD;MBOAT2;G0S2;ACADVL;TTYH1;MPZL1;KRT10;RRAS2;RAB39B;RAB39A;PRND;MGST2;SYCN;ACSM5;MAPK12;FZD7;TYRO3;PSMB10;LPAR2;LIMS2;RGN;CDH2;FADS1;PRR5L;GHR;FSTL3;FGF18;FGF10;FGF17;ASAH2;PIK3R2;PIK3R1;TICAM1;REEP1;PDGFB;KCNH2;PLEKHH2;NNMT;FOXO4;RALB;CPT2;PXK;PLA2G16;HSD17B10;ETFB;HRAS;WNT5B;WNT5A;JAM3;PSTPIP2;SNX18;KHK;HACL1;SESN2;AXIN1;RBP4;RHOQ;RHOJ;RHOB;NPR1;NUAK2;CYP17A1;PFKFB3;PSRC1;RNASEL;FGF8;SDC4;CLCF1;ANG;FAM110C;SPTB;HBEGF;BMP7;BMP6;BMP4;BMP2;CAMSAP3;ACAT1;B3GNT2;DAAM2;WT1;IDUA;CDKN1A;DLL1;HMGN5;AOX1;PKN3;RAB20;DRP2;ECHDC2;SLC2A14;SARDH;SHPK;ESPN;HEXB;VAMP1;SFXN1;FABP3;GRIA3;RND3;CHGA;MSN;NOL3;HSD3B2;NUDT7;DDR1;DSG3;DEPTOR;CTGF;GJB1;GJB2;GJB6;CPT1C;TPD52;PCBD1;MDH1;CASP4;AKT1;IFI27;PKP3;PKP1;RAB17;PON2;NRTN;WNT2B;TMEM176A;PTGES;KITLG;SEMA6C;IDH1;NPPC;DECR1;NAB2;JAG2;CDH1;MYO7A;BCAR1;INHBB;GJA3;RAB44;TLE1;STAR;CLDN1;CLDN3;CLDN5;PIK3CA;PIK3CG;RAB11FIP1;KCNG2;GAS6;SIN3B;PEPD;ACP5;GLA;ECI1;CYP11A1;RPH3AL;MYH11;LZTS1;DERA;S100B;DHCR7;CYB5A;PTS;SHC4;DSC3;GPSM1;VDR;AMOT;LAMA1;LAMA5;ARAF;SH3BP4;UNC119;KCND1;TSPAN2;RAB38;DOK1;RAB3D;GDNF;ACSL4;SLC1A3;FZD8;ELOVL6;DUSP5;HEY1;ACTA2;CLDN11;CLDN16;CLDN18;PIM2;PARVB;EFNB2;LINGO1;ETFDH;PDE4B;TMOD4
4668,GO:0009888,3.37249267898919e-13,1,85,1837,tissue development,BP,ITGA3;ITGA5;ARTN;TAGLN;FHOD3;LIF;WNT3;WNT2;WNT4;POU3F1;ACTN3;ACTN2;NOTCH1;STRA6;IGSF8;ITGB5;ITGB4;ITGB8;DSC2;WNT6;WNT7A;WNT7B;ZFPM1;TRADD;ACVR1;SALL4;EDN1;PRKACB;BDH2;ACADVL;KRT10;FZD7;PSMB10;CDH2;FGF18;FGF10;PDGFB;PLA2G16;WNT5B;WNT5A;AXIN1;RBP4;RHOB;FGF8;SDC4;HBEGF;BMP7;BMP6;BMP4;BMP2;ACAT1;WT1;CDKN1A;DLL1;WNK4;MSN;DDR1;DSG3;CTGF;GJB2;AKT1;PKP3;PKP1;NRTN;WNT2B;KITLG;NPPC;NAB2;JAG2;MYO7A;CLDN1;CLDN3;CLDN5;PIK3CA;GAS6;MYH11;S100B;DSC3;VDR;LAMA5;GDNF;DUSP5;HEY1;ACTA2;EFNB2
5888,GO:0016338,3.51956498790145e-13,1,11,23,calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules,BP,BMP2;CLDN1;CLDN2;CLDN3;CLDN5;CLDN23;CLDN12;CLDN11;CLDN16;CLDN15;CLDN18
16787,GO:0072001,4.69895648440611e-13,1,29,278,renal system development,BP,ITGA3;LIF;WNT4;NOTCH1;STRA6;ITGB4;WNT6;WNT7B;RGN;FSTL3;FGF10;PDGFB;WNT5A;RBP4;FGF8;SDC4;BMP7;BMP6;BMP4;BMP2;ACAT1;WT1;DLL1;WNK4;WNT2B;LAMA5;GDNF;ACTA2;EFNB2
11809,GO:0044444,5.72218124621401e-13,1,248,8745,cytoplasmic part,CC,ITGA3;ITGA5;EBP;PDK4;PECR;FHOD3;TMEM160;TMEM163;LIF;ADRA2C;SYT5;WNT3;WNT4;USE1;RIN3;TUBG2;ACTN3;ACTN2;RAB6C;TSPAN15;ALG5;PHYH;NOTCH1;GLDC;MARK4;RAB27A;IFI30;PNMT;DPM3;TF;ZFYVE21;ITGB5;FASN;PMAIP1;MSRA;CRISPLD2;SLC31A2;FBXO41;MRPL14;MRPL16;MRI1;FADD;DSC2;SERPINA5;WNT6;WNT7A;WNT7B;HSD17B3;MRAP;APOC1;TRADD;HMGCS2;RABIF;NMT2;TBC1D14;PXMP2;PXMP4;GUCY1B3;ADORA1;CASQ2;HSD17B11;EXTL1;ACSF2;EDN1;PLAU;RAB40B;RAB40A;PHLDA1;PNP;RHPN1;ABCG1;PRKACB;BDH2;SPTBN5;SPTBN4;PYCARD;CCDC51;MBOAT2;SLC25A53;G0S2;ACADVL;TTYH1;KRT10;RRAS2;RAB39B;RAB39A;MGST2;SYCN;ACSM5;MAPK12;FZD7;TYRO3;PSMB10;LPAR2;LIMS2;RGN;CDH2;FADS1;PRR5L;GHR;FSTL3;ASAH2;PIK3R2;PIK3R1;TICAM1;REEP1;PDGFB;KCNH2;PRKAR1B;PLEKHH2;PTPN7;NNMT;FOXO4;FRMPD1;RALB;CPT2;PXK;PLA2G16;HSD17B10;ETFB;HRAS;WNT5B;WNT5A;MAGEC2;PSTPIP2;SNX18;KHK;HACL1;GPRASP1;SESN2;AXIN1;GALT;RBP4;RHOQ;RHOJ;RHOB;NPR1;CYP17A1;PFKFB3;PSRC1;RNASEL;SDC4;BOLA1;ANG;FAM110C;SPTB;HBEGF;LGALS4;NMI;ACAT1;B3GNT2;TSFM;WT1;IDUA;CDKN1A;DLL1;AOX1;PKN3;RAB20;ECHDC2;SARDH;HEXB;VAMP1;SFXN1;CMBL;WNK4;FABP3;GRIA3;RND3;CHGA;MSN;NOL3;HSD3B2;NUDT6;NUDT7;DSG3;CTGF;GJB1;GJB2;GJB6;CPT1C;TPD52;PCBD1;MDH1;CASP4;AKT1;IFI27;PKP1;RAB12;RAB17;PON2;CYTIP;PTGES;IDH1;NPPC;DECR1;CDH1;PUS1;EPN1;MYO7A;BCAR1;INHBB;LDHD;TMEM98;SPSB1;RAB44;TFPI;TLE1;STAR;CLDN5;SNX21;PIK3CA;PIK3CG;RAB11FIP1;GAS6;ACP5;GLA;DTX4;ECI1;CYP11A1;RPH3AL;MYH11;DERA;S100B;DHCR7;CYB5A;PTS;GPSM1;AMOT;ARAF;SH3BP4;UNC119;RAB38;DOK1;RAB3D;LYPLAL1;ACSL4;MYZAP;FAM110B;FZD8;CNIH4;ELOVL6;ACTA2;RNF144A;PARVB;ETFDH;PDE4B;TMOD4
11868,GO:0044707,6.23099611417949e-13,1,187,5907,single-multicellular organism process,BP,ITGA3;ITGA5;ARTN;TAGLN;EBP;PDK4;FHOD3;LIF;ADRA2B;ADRA2C;WNT3;WNT2;WNT4;POU3F1;ACTN3;ACTN2;ALG5;NOTCH1;MARK4;RAB27A;CDH23;STRA6;TF;IGSF8;ITGB5;ITGB4;ITGB8;FASN;CRISPLD2;FADD;DHH;DSC2;SERPINA5;WNT6;WNT7A;WNT7B;HSD17B3;APOC1;ZFPM1;TRADD;ACVR1;SALL4;ADORA1;CASQ2;DKK3;EXTL1;EDN1;PLAU;PNP;ABCG1;PRKACB;KCNK6;MFGE8;CCL20;EBF1;SPTBN5;SPTBN4;PYCARD;ACADVL;KRT10;RRAS2;MAPK12;FZD7;TYRO3;PSMB10;LIMS2;RGN;CDH2;GHR;FSTL3;FGF18;FGF10;FGF17;PIK3R1;TICAM1;PDGFB;KCNH2;PRKAR1B;NNMT;FOXO4;PLA2G16;HRAS;WNT5B;WNT5A;JAM3;AXIN1;FXYD1;RBP4;RHOJ;RHOB;NPR1;PFKFB3;FGF8;SDC4;CLCF1;ANG;SPTB;HBEGF;NMI;BMP7;BMP6;BMP4;BMP2;CAMSAP3;ACAT1;B3GNT2;DAAM2;WT1;CDKN1A;DLL1;PKN3;DRP2;SLC2A14;HEXB;SFXN1;WNK4;CHGA;MSN;NOL3;DDR1;DSG3;CTGF;GJB1;GJB2;GJB6;TPD52;AKT1;PKP3;PKP1;RAB17;NRTN;WNT2B;FAM46A;TMEM176A;KITLG;SEMA6C;IDH1;NPPC;NAB2;JAG2;CDH1;EPN1;MYO7A;BCAR1;INHBB;TFPI;TLE1;STAR;CLDN1;CLDN5;PIK3CA;PIK3CG;RAB11FIP1;GAS6;PEPD;HAPLN3;DTX4;MYH11;LZTS1;S100B;DHCR7;PTS;HNF1A;DSC3;GPSM1;VDR;AMOT;LAMA1;LAMA5;ARAF;UNC119;KCND1;TSPAN2;DOK1;RAB3D;GDNF;ACSL4;SLC1A3;FZD8;DUSP5;HEY1;ACTA2;CLDN11;CLDN18;EFNB2;LINGO1;PDE4B
4247,GO:0008610,1.21881698087538e-12,1,44,628,lipid biosynthetic process,BP,EBP;PDK4;PECR;WNT4;DPM3;FASN;DHH;HSD17B3;APOC1;HMGCS2;HSD17B11;DKK3;EDN1;ABCG1;MBOAT2;ACADVL;ACSM5;RGN;FADS1;FGF18;FGF10;FGF17;PIK3R2;PIK3R1;PDGFB;PLA2G16;CYP17A1;FGF8;ANG;BMP6;BMP2;HEXB;FABP3;HSD3B2;AKT1;PTGES;IDH1;STAR;PIK3CA;PIK3CG;CYP11A1;DHCR7;VDR;ELOVL6
