,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,foreground_genes
4858,GO:0051017,0.00422037956804203,0.999791839347109,5,6,actin filament bundle assembly,BP,PIK3R1;ITGB5;SDC4;CTGF;ESPN
5580,GO:0061572,0.00422037956804203,0.999791839347109,5,6,actin filament bundle organization,BP,PIK3R1;ITGB5;SDC4;CTGF;ESPN
1217,GO:0007266,0.0116656877272236,1,3,3,Rho protein signal transduction,BP,RHOJ;RHOB;ITGA3
2412,GO:0030038,0.0150964467796245,0.999097314969915,4,5,contractile actin filament bundle assembly,BP,PIK3R1;ITGB5;SDC4;CTGF
3782,GO:0043149,0.0150964467796245,0.999097314969915,4,5,stress fiber assembly,BP,PIK3R1;ITGB5;SDC4;CTGF
5719,GO:0070663,0.0176939871679322,0.997216650521763,5,10,regulation of leukocyte proliferation,BP,PNP;CDKN1A;KITLG;SDC4;TICAM1
1160,GO:0007050,0.0206058558606336,0.997368273968061,4,8,cell cycle arrest,BP,CDKN1A;GAS6;HMGN5;FOXO4
1035,GO:0006694,0.0208565366454586,0.995045707773358,7,16,steroid biosynthetic process,BP,HMGCS2;DKK3;HSD17B3;CYP11A1;HSD3B2;DHCR7;DHH
2640,GO:0031032,0.0220406328157337,0.996132726035593,6,10,actomyosin structure organization,BP,ACTN2;PIK3R1;ITGB5;SDC4;FHOD3;CTGF
1144,GO:0007015,0.0241114184193337,0.993829094808693,8,16,actin filament organization,BP,ACTN2;PIK3R1;PLEKHH2;ITGB5;SDC4;FHOD3;CTGF;ESPN
1229,GO:0007338,0.0241999754088408,0.998681211160985,3,4,single fertilization,BP,HEXB;MFGE8;SERPINA5
3842,GO:0043297,0.0251639613365028,1,2,2,apical junction assembly,BP,CLDN1;CLDN3
5739,GO:0070830,0.0251639613365028,1,2,2,bicellular tight junction assembly,BP,CLDN1;CLDN3
1216,GO:0007265,0.0254501687344092,0.995569296780855,5,10,Ras protein signal transduction,BP,CDKN1A;RHOJ;KITLG;RHOB;ITGA3
5769,GO:0071156,0.0274072644796735,0.997743225319565,3,5,regulation of cell cycle arrest,BP,CDKN1A;HMGN5;FOXO4
3574,GO:0042113,0.028976716589259,0.996835582360389,4,6,B cell activation,BP,CDKN1A;PIK3R1;DLL1;TICAM1
14,GO:0000086,0.0291069075669915,0.998286481709862,3,4,G2/M transition of mitotic cell cycle,BP,CDKN1A;PHLDA1;FOXO4
4095,GO:0044839,0.0291069075669915,0.998286481709862,3,4,cell cycle G2/M phase transition,BP,CDKN1A;PHLDA1;FOXO4
6081,GO:0072523,0.031232925173596,0.998105650648582,3,4,purine-containing compound catabolic process,BP,PNP;PDE4B;AOX1
5721,GO:0070665,0.0322989352560565,0.99521887563652,4,8,positive regulation of leukocyte proliferation,BP,PNP;CDKN1A;KITLG;TICAM1
1342,GO:0008202,0.0332727783923507,0.990860178528593,7,18,steroid metabolic process,BP,HMGCS2;DKK3;HSD17B3;CYP11A1;HSD3B2;DHCR7;DHH
1177,GO:0007160,0.0339769399099013,0.991812585673301,7,13,cell-matrix adhesion,BP,ACTN2;PIK3R1;LAMA5;ITGB5;SDC4;ITGA3;CTGF
713,GO:0005178,0.0343047834731193,0.994513669836377,5,8,integrin binding,MF,ACTN2;MFGE8;LAMA5;ITGA3;CTGF
3066,GO:0032944,0.0397764428025786,0.993266106843494,4,9,regulation of mononuclear cell proliferation,BP,PNP;CDKN1A;SDC4;TICAM1
4728,GO:0050670,0.0397764428025786,0.993266106843494,4,9,regulation of lymphocyte proliferation,BP,PNP;CDKN1A;SDC4;TICAM1
2782,GO:0031901,0.0403647106110415,1,2,2,early endosome membrane,CC,SNX21;TMEM163
2406,GO:0030029,0.0418346277103179,0.982975024617458,13,34,actin filament-based process,BP,ACTN2;MYO7A;NUAK2;RHOJ;PIK3R1;PLEKHH2;ITGB5;SDC4;FHOD3;PDE4B;CTGF;ESPN;DAAM2
2652,GO:0031091,0.0424620097575696,0.997059845378,3,4,platelet alpha granule,CC,ACTN2;GAS6;SERPINA5
3639,GO:0042446,0.0424769399593532,0.990992843777987,5,11,hormone biosynthetic process,BP,DKK3;HSD17B3;CYP11A1;HSD3B2;DHCR7
238,GO:0001968,0.0442230867717543,0.996882743425323,3,4,fibronectin binding,MF,SDC4;ITGA3;CTGF
6533,GO:1901136,0.0446229453830851,0.99214438229555,4,9,carbohydrate derivative catabolic process,BP,PNP;HEXB;SDC4;PDE4B
3251,GO:0034605,0.045784970045548,1,2,2,cellular response to heat,BP,CDKN1A;SLC52A3
3114,GO:0033158,0.0458874540652628,1,2,2,regulation of protein import into nucleus, translocation,BP,CDKN1A;GAS6
829,GO:0005813,0.0477180576605331,0.992665212694287,4,7,centrosome,CC,PRKACB;CAMSAP3;PDE4B;MARK4
4810,GO:0050867,0.0481123348626475,0.987452611546813,6,14,positive regulation of cell activation,BP,PNP;CDKN1A;PIK3R1;GAS6;TICAM1;CTGF
4213,GO:0045621,0.0484958086560493,1,2,2,positive regulation of lymphocyte differentiation,BP,PNP;GAS6
3638,GO:0042445,0.0485334595264793,0.988901800376816,5,12,hormone metabolic process,BP,DKK3;HSD17B3;CYP11A1;HSD3B2;DHCR7
3033,GO:0032814,0.0498425970002258,1,2,2,regulation of natural killer cell activation,BP,GAS6;TICAM1
3034,GO:0032816,0.0498425970002258,1,2,2,positive regulation of natural killer cell activation,BP,GAS6;TICAM1
