"","logFC","logCPM","PValue","FDR"
"HACL1",-2.50906434363056,5.01517282851713,1.46508759739477e-26,1.9046138766132e-24
"MSRA",-2.334235042277,3.80009197792641,1.2811418183326e-16,8.32742181916187e-15
"ACAT1",-2.20697759189651,6.39734877349708,3.89257656829265e-16,1.68678317959348e-14
"MRPL14",-1.64211112232577,5.52230078188642,2.52091327698845e-11,8.19296815021247e-10
"PXMP2",-2.21480948044827,2.20288647312053,1.10930096701359e-09,2.88418251423534e-08
"PXK",-1.83488479952338,3.47622891158407,2.47008078576866e-09,5.35184170249876e-08
"RBP4",-2.62390888426643,1.31062141593534,2.15176559252018e-08,3.64150928542304e-07
"ACADVL",-1.3325848413107,7.55801520036858,2.24092879102956e-08,3.64150928542304e-07
"TMEM160",-2.14433924860309,2.37947670058917,4.10145888007247e-08,5.92432949343801e-07
"CNIH4",-1.3346903158299,3.97188897046537,1.2546123401701e-07,1.63099604222114e-06
"ARL6IP4",-1.25699093301224,6.85062512742827,1.65990376679814e-07,1.95921017362782e-06
"ACAA2",-1.02353349893968,5.55515538223014,1.80850169873338e-07,1.95921017362782e-06
"TH",-3.79329504647876,-0.113243866079673,2.40108609667893e-07,2.40108609667893e-06
"PUS1",-0.949438576016952,4.91367324204219,4.15726862575026e-07,3.8603208667681e-06
"ACSF2",1.19803309411533,5.09697140388661,4.91279460461404e-07,4.25775532399883e-06
"NUDT7",-1.3393487574068,3.5821342867025,5.85612098885335e-07,4.75809830344335e-06
"PNP",1.20809826503158,4.98524225139903,2.10094974211288e-06,1.60660862632161e-05
"TSFM",-1.02330523509601,5.25605158601404,3.22783321336866e-06,2.33121287632181e-05
"HEXB",0.90325584664112,5.82895948743103,1.45095064144794e-05,9.9275570204333e-05
"ALG5",-0.996190178843326,4.26521229165352,2.45619228951717e-05,0.000155863633053954
"ABCG1",-1.85140310738885,1.97673204227224,2.5177971493331e-05,0.000155863633053954
"ACAT2",-0.983340583620576,5.4874845446087,2.86472099230356e-05,0.000169278967727028
"SNX21",0.848184100871283,6.20320075434155,5.112713864041e-05,0.000288979479271883
"BOLA1",-0.851291882153168,3.72706819054195,6.17330164454205e-05,0.000334387172412695
"MRI1",1.06986578286237,4.34066020852375,0.000127459610302723,0.000652684173897777
"ECI1",-0.851836300670873,4.28470951531423,0.000134654634076648,0.000652684173897777
"KRT10",-0.78699664248319,5.81985367083576,0.000135557482271077,0.000652684173897777
"CMBL",0.878836632468397,4.50746400777262,0.000183179829272959,0.000842529048307906
"ETFDH",-0.725377391502109,4.86867766558434,0.000187948787699456,0.000842529048307906
"CCDC51",-0.783627794894714,4.22174345305004,0.000339301731879623,0.0014703075048117
"DEPTOR",-1.15209921619179,2.48068917141611,0.000364996915846243,0.00153063222774231
"FADD",-0.674406597458917,4.60222607765198,0.000414015057543852,0.00165327925549052
"PSMB10",-0.968399087075687,3.7196896292568,0.000426295207148212,0.00165327925549052
"LYPLAL1",-0.766810843208528,4.77987726604786,0.000432396112974443,0.00165327925549052
"CYP11A1",0.866299819836233,7.38775069545462,0.000586768092135085,0.00217942434221603
"LAGE3",-0.67614037724499,4.02753189917241,0.000669761156915435,0.00241858195552796
"HSD3B2",1.59872591518308,3.12063904402478,0.000911558026490267,0.00320277144442526
"TBC1D14",-0.818923509240222,5.55165888612977,0.000974988986445723,0.00333548863784063
"TICAM1",0.889841598052185,3.58277316157985,0.00110414697012562,0.00368048990041874
"B3GNT1",0.592695911761823,5.6716163555007,0.00136228581168263,0.00442742888796853
"ACCS",0.740161090745601,5.82038342372119,0.00143367782339481,0.00449170226043256
"NUDT6",-1.17642182252356,1.96721670828144,0.00145116534567821,0.00449170226043256
"CASP4",1.05883807267115,2.82699610311172,0.00176396641499635,0.00533292171975641
"TMEM164",0.652927854419985,4.96483106965403,0.00180533692782325,0.00533395001402323
"HNF1A",-1.30505332099466,1.16318087317059,0.00191982963302496,0.00554617449540545
"PTS",-0.701474556219004,3.80671326522883,0.00215332873504406,0.00608549425121148
"HSD17B3",0.771579934717842,6.34751328088786,0.00222046846195517,0.00614172127774835
"PDK4",0.744545039056666,5.80655957282835,0.00234067945624224,0.0063393401939894
"RBMS3",0.977007458196174,4.74686725188162,0.00242076792912184,0.00642244552624162
"PLA2G16",-0.726048322204447,7.1881761509328,0.00276225747907936,0.0071700090822499
"PRRT1",0.821594063984454,4.10227546620686,0.00281284971688265,0.0071700090822499
"LINGO1",-1.17545440018274,4.01482918509974,0.00330351826930862,0.00825879567327155
"DECR1",-0.715583092393275,6.4066248591258,0.00344884628092146,0.00845943427395831
"FGF18",-1.7549971073956,0.468949481947405,0.00357229915273515,0.00859997944176981
"AOX1",0.721365139410532,6.60160041892738,0.00523907567088238,0.0123832697675402
"PON2",0.654662495099225,6.97706285040847,0.00648390642001158,0.015051925617884
"CPT1C",-0.7822917135785,3.63773201573938,0.00687626301960838,0.0156827051324402
"DHCR7",0.684726825219195,7.80074526285624,0.011067309243033,0.0248060379585222
"HSD17B11",0.523648283921219,4.78162396542296,0.0116040620621491,0.0255682723403284
"BDH2",0.520359366096666,5.1556776096863,0.0139284151380166,0.030178232799036
"ZFYVE21",-0.504290577406821,6.34643144996477,0.0143797691977085,0.0304701434329107
"IFI27",0.762954762649027,6.60151203934718,0.014654686197951,0.0304701434329107
"RNASEL",0.598192883333497,3.84145209311736,0.014766300279026,0.0304701434329107
"WDR45",0.468738867515846,4.50679026592279,0.01619805526292,0.0329022997528062
"DPM3",-0.534461318067998,4.65791851781994,0.0177913764383117,0.0355827528766235
"IDUA",0.470553564490727,4.33005083513013,0.0181068904468811,0.0356650872438567
"ASAH2",1.89150536903858,0.196562179015045,0.0211162407537448,0.0409718104177138
"ETFB",-0.544440704583678,6.07410786394194,0.0228596680574685,0.0437023065804546
"PEPD",-0.398418806747421,5.62440012653633,0.0242479691349925,0.045684579529696
"IFI30",-0.760562307510292,2.42541664121618,0.0249276393149227,0.0462941872991422
"F8A1",0.92769528021914,2.11060545852186,0.0305784643624357,0.0559887375650231
"RGN",0.691229881715642,3.85039451968314,0.0376193590546747,0.0679238427376071
"GHR",0.610839205034929,3.57049049263407,0.0401007711625322,0.0700036799799596
"GALT",0.483192714732095,4.29410324184903,0.0403110832317791,0.0700036799799596
"NOL3",0.630270812973513,3.90604937912258,0.0408986294422469,0.0700036799799596
"DERA",-0.471133404527845,3.98179429730215,0.0409252282959764,0.0700036799799596
"PXMP4",-0.454532470210658,3.66074712367311,0.043113512150335,0.0727890464875787
"FADS1",0.514995072754617,6.64508166959546,0.0484832125259646,0.080805354209941
"PCBD1",0.345990866965588,5.30682236704376,0.0547361006517971,0.0900720643637167
"SEPP1",0.82371854326672,4.9282526549266,0.0565515616888781,0.0911810036026329
"SLC1A3",0.785048184134213,3.26821387076192,0.0568127791677944,0.0911810036026329
"MDP1",-0.811295264709304,0.722700159138756,0.0650177521466031,0.103076924134859
"TMOD4",1.07636593872497,0.543995910376527,0.07146515850835,0.111933380796211
"TMEM98",-0.420914457566604,5.24721193218772,0.0723630256589393,0.11199039685312
"MRAP",1.09923425032704,0.350069909187841,0.0907586823909694,0.138807396597953
"ACSM5",0.993177143467579,1.41463780728338,0.104678955530723,0.158235630453419
"CPT2",-0.384507826547889,6.083047742555,0.118439952560027,0.176979239457512
"ANG",0.431577409149154,4.43242391694965,0.126858825312877,0.187405082848569
"GRIA3",0.95072441751525,2.06621143026373,0.129091095019608,0.188560026433135
"STAR",0.507003656027959,8.16920863193959,0.134265894047557,0.192963124959615
"CYP17A1",1.05178168600844,7.14696466093664,0.135074187471731,0.192963124959615
"WBP1",-0.601941602291181,1.95626669424606,0.138589999238597,0.195833694576279
"RPH3AL",0.432979804761452,3.00803754510753,0.163849634961068,0.229037124139128
"EBP",0.342716849312675,5.61961323655701,0.17435378166158,0.241127570383036
"LDHD",0.452866222788554,3.02875044694198,0.189185630433462,0.258885599540527
"EBF1",0.345109223554113,4.79341897749203,0.225281742067827,0.30506902571685
"NNMT",-0.562187312094644,1.37195132380948,0.230938955747842,0.309505816981644
"FXYD1",0.632154528276869,1.24958849112383,0.234494114148614,0.311063620809386
"IDH1",0.278562593533751,7.63439251209197,0.258526667736744,0.337469738292878
"APOC1",0.465129671224744,3.1055829272403,0.260720117230298,0.337469738292878
"S100B",0.661446279501274,1.5896981356518,0.262188027442928,0.337469738292878
"TFPI",0.378851652491039,4.00536262954592,0.273772593111624,0.348925853965795
"SHPK",0.248627131586014,5.03548868198964,0.297195326364019,0.375100897352645
"MGST2",0.230822895920569,6.05395591538966,0.317708475243095,0.397135594053869
"SLC31A2",0.252756429406667,5.85560676742962,0.342633305850077,0.42421266438581
"P2RY14",0.506581225184281,1.21308502866914,0.361351618820971,0.441248175102341
"SARDH",0.327475758080522,2.04021889560699,0.363181190276542,0.441248175102341
"NMI",0.228825475785698,3.51744660391395,0.388353973154622,0.467463115834267
"TMEM176A",0.474323128619457,2.1476619709041,0.393595454957193,0.469425771967294
"TRADD",0.155458720375441,4.06523454297471,0.436232065509623,0.515546986511373
"ACP5",0.332029379042408,3.43982936881868,0.454723012610986,0.530074629690534
"PTMS",0.232520877590953,6.52859011087833,0.456679680964152,0.530074629690534
"PECR",0.347255542051151,1.13506659482786,0.47234795962405,0.543409157089616
"PYCARD",0.25903437280981,1.82717165962801,0.516387676179704,0.588863139503171
"CYB5A",0.120813080570175,5.86358059665456,0.636539510080937,0.716067929952148
"CFB",0.180326453484091,2.2398320261956,0.638952922111147,0.716067929952148
"ECHDC2",0.101781181219593,6.75068415163847,0.655265947399153,0.728073274887947
"FAM110C",0.0689617084245227,5.07003002201716,0.765792856414111,0.842289744134167
"EXTL1",0.12786129859636,2.53720797206929,0.771019073476661,0.842289744134167
"ELOVL6",0.109923865215576,2.30754143595702,0.784904384424255,0.850313083126276
"FAM46A",0.0649955994608492,4.57559516040621,0.803537241817706,0.862549374240988
"MRPL16",0.0578094714106871,6.33326294708714,0.809469412749235,0.862549374240988
"FABP3",0.0582739509724639,4.42064132726271,0.859889335255291,0.908826126692584
"MDH1",0.0416430500550245,7.076398285532,0.870008132836743,0.91210530055465
"GLA",-0.0182209708300254,3.52828670519112,0.951731900614988,0.984137068008507
"DOK1",0.0274831567609316,3.65288973215014,0.953855927454399,0.984137068008507
"HSD17B10",0.00890265046814501,5.13919384035897,0.984830453466096,1
"G0S2",0.00789779497574325,5.58315952586398,0.993363287616507,1
"PHYH",0.00335683404623192,5.64446538266056,0.996801427676967,1
"TMEM223",0.00353930016327358,3.76728392513668,1,1
