,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,foreground_genes
11710,GO:0044281,4.78512092028641e-24,1,60,1974,small molecule metabolic process,BP,EBP;PDK4;PECR;PHYH;TH;MSRA;MRI1;HSD17B3;MRAP;APOC1;EXTL1;ACSF2;PNP;ABCG1;BDH2;ACADVL;ACAA2;MGST2;ACSM5;PSMB10;RGN;FADS1;GHR;NNMT;CPT2;PLA2G16;HSD17B10;ETFB;HACL1;GALT;RBP4;CYP17A1;ACAT1;ACAT2;IDUA;AOX1;ECHDC2;SARDH;SHPK;HEXB;FABP3;NUDT7;CPT1C;PCBD1;MDH1;PON2;IDH1;DECR1;STAR;PEPD;ACP5;ECI1;CYP11A1;DERA;DHCR7;CYB5A;PTS;SLC1A3;ELOVL6;ETFDH
2977,GO:0006082,1.24147438851791e-22,1,44,1031,organic acid metabolic process,BP,PDK4;PECR;PHYH;TH;MSRA;MRI1;APOC1;EXTL1;ACSF2;PNP;BDH2;ACADVL;ACAA2;MGST2;ACSM5;PSMB10;RGN;FADS1;GHR;CPT2;HSD17B10;ETFB;HACL1;ACAT1;ACAT2;IDUA;ECHDC2;SARDH;HEXB;FABP3;CPT1C;PCBD1;MDH1;PON2;IDH1;DECR1;STAR;PEPD;ECI1;CYB5A;PTS;SLC1A3;ELOVL6;ETFDH
11406,GO:0043436,5.99568899192187e-22,1,43,1016,oxoacid metabolic process,BP,PDK4;PECR;PHYH;TH;MSRA;MRI1;APOC1;EXTL1;ACSF2;BDH2;ACADVL;ACAA2;MGST2;ACSM5;PSMB10;RGN;FADS1;GHR;CPT2;HSD17B10;ETFB;HACL1;ACAT1;ACAT2;IDUA;ECHDC2;SARDH;HEXB;FABP3;CPT1C;PCBD1;MDH1;PON2;IDH1;DECR1;STAR;PEPD;ECI1;CYB5A;PTS;SLC1A3;ELOVL6;ETFDH
6685,GO:0019752,7.71909715150968e-22,1,41,909,carboxylic acid metabolic process,BP,PDK4;PECR;PHYH;TH;MSRA;MRI1;APOC1;ACSF2;BDH2;ACADVL;ACAA2;MGST2;ACSM5;PSMB10;RGN;FADS1;GHR;CPT2;HSD17B10;ETFB;HACL1;ACAT1;ACAT2;IDUA;ECHDC2;SARDH;FABP3;CPT1C;PCBD1;MDH1;PON2;IDH1;DECR1;STAR;PEPD;ECI1;CYB5A;PTS;SLC1A3;ELOVL6;ETFDH
3340,GO:0006629,2.11408085717345e-21,1,47,1307,lipid metabolic process,BP,EBP;PDK4;PECR;PHYH;DPM3;TH;ZFYVE21;HSD17B3;APOC1;HSD17B11;ACSF2;ABCG1;BDH2;ACADVL;ACAA2;ACSM5;RGN;FADS1;GHR;FGF18;ASAH2;CPT2;PLA2G16;HSD17B10;ETFB;HACL1;RBP4;CYP17A1;ANG;ACAT1;ACAT2;ECHDC2;HEXB;FABP3;HSD3B2;NUDT7;CPT1C;PON2;IDH1;DECR1;STAR;GLA;ECI1;CYP11A1;DHCR7;ELOVL6;ETFDH
3341,GO:0006631,9.32792287572769e-20,1,26,330,fatty acid metabolic process,BP,PDK4;PECR;PHYH;TH;APOC1;ACSF2;BDH2;ACADVL;ACAA2;ACSM5;RGN;FADS1;GHR;CPT2;ETFB;HACL1;ACAT1;ACAT2;ECHDC2;FABP3;CPT1C;PON2;DECR1;ECI1;ELOVL6;ETFDH
11692,GO:0044255,1.7266455985729e-18,1,39,1021,cellular lipid metabolic process,BP,PDK4;PECR;PHYH;DPM3;TH;ZFYVE21;APOC1;ACSF2;ABCG1;BDH2;ACADVL;ACAA2;ACSM5;RGN;FADS1;GHR;FGF18;ASAH2;CPT2;PLA2G16;ETFB;HACL1;RBP4;ANG;ACAT1;ACAT2;ECHDC2;HEXB;FABP3;NUDT7;CPT1C;PON2;IDH1;DECR1;STAR;GLA;ECI1;ELOVL6;ETFDH
8735,GO:0032787,2.02622905404666e-18,1,30,540,monocarboxylic acid metabolic process,BP,PDK4;PECR;PHYH;TH;APOC1;ACSF2;BDH2;ACADVL;ACAA2;ACSM5;RGN;FADS1;GHR;CPT2;ETFB;HACL1;ACAT1;ACAT2;IDUA;ECHDC2;FABP3;CPT1C;PON2;IDH1;DECR1;STAR;ECI1;SLC1A3;ELOVL6;ETFDH
2757,GO:0005739,7.59346569123349e-18,1,47,1569,mitochondrion,CC,PDK4;PECR;TMEM160;PHYH;TH;MSRA;MRPL14;MRPL16;ACSF2;ABCG1;PYCARD;CCDC51;G0S2;ACADVL;ACAA2;ACSM5;FADS1;ASAH2;CPT2;HSD17B10;ETFB;CYP17A1;RNASEL;BOLA1;ACAT1;ACAT2;TSFM;ECHDC2;SARDH;NOL3;HSD3B2;NUDT6;CPT1C;MDH1;CASP4;IFI27;PON2;IDH1;DECR1;PUS1;LDHD;STAR;ECI1;CYP11A1;CYB5A;PTS;ETFDH
6599,GO:0019395,8.20202258741493e-18,1,16,95,fatty acid oxidation,BP,PDK4;PHYH;BDH2;ACADVL;ACAA2;CPT2;ETFB;HACL1;ACAT1;ACAT2;ECHDC2;FABP3;CPT1C;DECR1;ECI1;ETFDH
