,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,foreground_genes
1017,GO:0007409,0.000643907374527766,0.999907229581983,12,17,axonogenesis,BP,WNT7A;WNT3;SPTBN5;SPTB;FGF8;ARTN;HRAS;GDNF;PIK3CA;BMP7;SPTBN4;NOTCH1
2516,GO:0032990,0.00109845678178251,0.999799022547833,13,20,cell part morphogenesis,BP,WNT7A;WNT3;WNT7B;SPTBN5;SPTB;FGF8;ARTN;HRAS;GDNF;PIK3CA;BMP7;SPTBN4;NOTCH1
3903,GO:0048812,0.00109845678178251,0.999799022547833,13,20,neuron projection morphogenesis,BP,WNT7A;WNT3;WNT7B;SPTBN5;SPTB;FGF8;ARTN;HRAS;GDNF;PIK3CA;BMP7;SPTBN4;NOTCH1
3920,GO:0048858,0.00109845678178251,0.999799022547833,13,20,cell projection morphogenesis,BP,WNT7A;WNT3;WNT7B;SPTBN5;SPTB;FGF8;ARTN;HRAS;GDNF;PIK3CA;BMP7;SPTBN4;NOTCH1
4947,GO:0071396,0.00245082540089832,0.999515834216624,12,19,cellular response to lipid,BP,GJB2;BMP6;WNT3;HEY1;WNT7B;WNT2;FZD7;VDR;WNT5B;CCL20;BMP4;BMP7
3861,GO:0048667,0.00266682838456869,0.99946652877087,12,19,cell morphogenesis involved in neuron differentiation,BP,WNT7A;WNT3;SPTBN5;SPTB;FGF8;ARTN;HRAS;GDNF;PIK3CA;BMP7;SPTBN4;NOTCH1
2742,GO:0035556,0.00267270684079125,0.99895671695969,34,78,intracellular signal transduction,BP,TLE1;WNT7A;PIK3CG;ACTN3;RABIF;BMP6;WNT7B;PMAIP1;AXIN1;MAPK12;SPTBN5;RAB40B;SPTB;RRAS2;FZD7;FGF8;ARTN;AMOT;WNK4;DUSP5;INHBB;CCL20;PKN3;FGF17;HRAS;BMP4;GDNF;RAB38;PIK3CA;BMP7;SPTBN4;NOTCH1;RND3;GUCY1B3
2699,GO:0035116,0.00345198690540622,1,5,5,embryonic hindlimb morphogenesis,BP,WNT7A;WNT3;FGF8;BMP4;NOTCH1
2701,GO:0035137,0.00345198690540622,1,5,5,hindlimb morphogenesis,BP,WNT7A;WNT3;FGF8;BMP4;NOTCH1
1018,GO:0007411,0.0039540333253733,0.999312380825021,10,15,axon guidance,BP,WNT3;SPTBN5;SPTB;FGF8;ARTN;HRAS;GDNF;PIK3CA;BMP7;SPTBN4
5399,GO:0097485,0.0039540333253733,0.999312380825021,10,15,neuron projection guidance,BP,WNT3;SPTBN5;SPTB;FGF8;ARTN;HRAS;GDNF;PIK3CA;BMP7;SPTBN4
1865,GO:0021953,0.00429537168786482,0.999756974111977,6,7,central nervous system neuron differentiation,BP,WNT7A;WNT3;AXIN1;WNT2;FGF8;SPTBN4
2015,GO:0030326,0.00456880550601091,0.999737567597476,6,7,embryonic limb morphogenesis,BP,WNT7A;WNT3;FGF8;BMP4;BMP7;NOTCH1
2697,GO:0035113,0.00456880550601091,0.999737567597476,6,7,embryonic appendage morphogenesis,BP,WNT7A;WNT3;FGF8;BMP4;BMP7;NOTCH1
2592,GO:0033993,0.00479242329993769,0.998676478031744,15,27,response to lipid,BP,WNT7A;GJB2;BMP6;WNT3;HEY1;GJB6;WNT7B;WNT2;FZD7;VDR;WNT5B;CCL20;BMP4;BMP7;NOTCH1
4733,GO:0061564,0.00488346831578317,0.998884560980968,12,20,axon development,BP,WNT7A;WNT3;SPTBN5;SPTB;FGF8;ARTN;HRAS;GDNF;PIK3CA;BMP7;SPTBN4;NOTCH1
23,GO:0000165,0.00528179131708099,0.998209293596698,20,40,MAPK cascade,BP,WNT7A;PIK3CG;BMP6;WNT7B;AXIN1;MAPK12;SPTBN5;SPTB;FZD7;FGF8;ARTN;DUSP5;INHBB;CCL20;FGF17;HRAS;BMP4;GDNF;BMP7;SPTBN4
4516,GO:0060561,0.00652734538857496,1,4,4,apoptotic process involved in morphogenesis,BP,JAG2;VDR;BMP7;NOTCH1
5737,GO:1902742,0.00652734538857496,1,4,4,apoptotic process involved in development,BP,JAG2;VDR;BMP7;NOTCH1
4240,GO:0051693,0.00680288747643109,1,4,4,actin filament capping,BP,SCIN;SPTBN5;SPTB;SPTBN4
3818,GO:0048545,0.00889958043854614,0.998521765928844,8,12,response to steroid hormone,BP,GJB2;BMP6;HEY1;WNT7B;VDR;BMP4;BMP7;NOTCH1
5257,GO:0090100,0.0098162924438806,0.998967502386617,6,8,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,BP,BMP6;CRB2;INHBB;BMP4;BMP7;NOTCH1
100,GO:0001570,0.01043132648155,0.999342492755234,5,6,vasculogenesis,BP,WNT7A;HEY1;WNT7B;AMOT;NOTCH1
51,GO:0000904,0.0106439701471865,0.996927625261884,13,24,cell morphogenesis involved in differentiation,BP,WNT7A;WNT3;SPTBN5;SPTB;FZD7;FGF8;ARTN;HRAS;GDNF;PIK3CA;BMP7;SPTBN4;NOTCH1
2401,GO:0032526,0.0112548321476592,0.998373950017242,7,10,response to retinoic acid,BP,GJB2;BMP6;WNT3;WNT7B;WNT2;FZD7;WNT5B
4942,GO:0071383,0.0117161774836016,0.999236215852183,5,6,cellular response to steroid hormone stimulus,BP,GJB2;HEY1;VDR;BMP4;BMP7
946,GO:0007154,0.012508897720928,0.994343454007486,52,142,cell communication,BP,RHPN1;TLE1;WNT7A;GJB2;PIK3CG;SYT5;ACTN3;CLDN18;RABIF;GJA3;BMP6;WNT3;HEY1;GJB6;WNT7B;JAG2;PMAIP1;KCNG2;AXIN1;MAPK12;WNT2;SPTBN5;RAB40B;SPTB;RRAS2;FZD7;FGF8;VDR;CRB2;ARTN;AMOT;WNT5B;WNK4;DUSP5;INHBB;CCL20;PKN3;PKP1;FGF17;TSPAN15;HRAS;BMP4;GDNF;RAB38;PIK3CA;BMP7;FSTL3;SPTBN4;TSPAN13;NOTCH1;RND3;GUCY1B3
1010,GO:0007369,0.013162370775028,0.997114184977543,9,15,gastrulation,BP,WNT3;AXIN1;FZD7;FGF8;CRB2;AMOT;DUSP5;BMP4;BMP7
84,GO:0001501,0.0135943859428195,0.996123026365695,12,22,skeletal system development,BP,SCIN;WNT7A;CLDN18;BMP6;WNT7B;JAG2;AXIN1;FGF8;VDR;WNT5B;BMP4;BMP7
1912,GO:0023014,0.0145218789435674,0.994309362960864,20,43,signal transduction by protein phosphorylation,BP,WNT7A;PIK3CG;BMP6;WNT7B;AXIN1;MAPK12;SPTBN5;SPTB;FZD7;FGF8;ARTN;DUSP5;INHBB;CCL20;FGF17;HRAS;BMP4;GDNF;BMP7;SPTBN4
2694,GO:0035107,0.0150090416980156,0.998239669184441,6,8,appendage morphogenesis,BP,WNT7A;WNT3;FGF8;BMP4;BMP7;NOTCH1
2695,GO:0035108,0.0150090416980156,0.998239669184441,6,8,limb morphogenesis,BP,WNT7A;WNT3;FGF8;BMP4;BMP7;NOTCH1
1915,GO:0023052,0.0151735687700787,0.993005475714454,52,143,signaling,BP,RHPN1;TLE1;WNT7A;GJB2;PIK3CG;SYT5;ACTN3;CLDN18;RABIF;GJA3;BMP6;WNT3;HEY1;WNT7B;JAG2;PMAIP1;KCNG2;AXIN1;MAPK12;WNT2;SPTBN5;RAB40B;SPTB;RRAS2;FZD7;FGF8;VDR;CRB2;ARTN;AMOT;WNT5B;WNK4;DUSP5;INHBB;CCL20;PKN3;PKP1;FGF17;TSPAN15;HRAS;BMP4;KCNK6;GDNF;RAB38;PIK3CA;BMP7;FSTL3;SPTBN4;TSPAN13;NOTCH1;RND3;GUCY1B3
3352,GO:0044700,0.0151735687700787,0.993005475714454,52,143,single organism signaling,BP,RHPN1;TLE1;WNT7A;GJB2;PIK3CG;SYT5;ACTN3;CLDN18;RABIF;GJA3;BMP6;WNT3;HEY1;WNT7B;JAG2;PMAIP1;KCNG2;AXIN1;MAPK12;WNT2;SPTBN5;RAB40B;SPTB;RRAS2;FZD7;FGF8;VDR;CRB2;ARTN;AMOT;WNT5B;WNK4;DUSP5;INHBB;CCL20;PKN3;PKP1;FGF17;TSPAN15;HRAS;BMP4;KCNK6;GDNF;RAB38;PIK3CA;BMP7;FSTL3;SPTBN4;TSPAN13;NOTCH1;RND3;GUCY1B3
3836,GO:0048598,0.016135565002456,0.994225245756055,16,33,embryonic morphogenesis,BP,WNT7A;WNT3;GJB6;WNT7B;JAG2;AXIN1;WNT2;FZD7;FGF8;CRB2;AMOT;DUSP5;BMP4;GDNF;BMP7;NOTCH1
2163,GO:0031175,0.0179818008812175,0.993930571372567,14,28,neuron projection development,BP,WNT7A;WNT3;WNT7B;CDH1;SPTBN5;SPTB;FGF8;ARTN;HRAS;GDNF;PIK3CA;BMP7;SPTBN4;NOTCH1
3832,GO:0048589,0.0183310346876895,0.99480384767499,11,20,developmental growth,BP,WNT7A;ACTN3;WNT3;WNT7B;WNT2;FZD7;FGF8;BMP4;PIK3CA;SPTBN4;NOTCH1
1887,GO:0022411,0.0195496776613493,0.99703849298355,6,9,cellular component disassembly,BP,SCIN;AXIN1;CDH1;SPTBN5;SPTB;SPTBN4
50,GO:0000902,0.0208886893258597,0.992455200798346,15,31,cell morphogenesis,BP,WNT7A;WNT3;WNT7B;SPTBN5;SPTB;FZD7;FGF8;VDR;ARTN;HRAS;GDNF;PIK3CA;BMP7;SPTBN4;NOTCH1
991,GO:0007267,0.0217788284608981,0.990764336983541,21,47,cell-cell signaling,BP,TLE1;WNT7A;GJB2;SYT5;GJA3;BMP6;WNT3;WNT7B;KCNG2;AXIN1;WNT2;FZD7;FGF8;WNT5B;INHBB;CCL20;FGF17;HRAS;BMP4;GDNF;NOTCH1
1970,GO:0030182,0.0218676762114072,0.990678831755563,21,48,neuron differentiation,BP,WNT7A;BMP6;WNT3;WNT7B;JAG2;AXIN1;WNT2;CDH1;SPTBN5;SPTB;FZD7;FGF8;ARTN;WNT5B;HRAS;BMP4;GDNF;PIK3CA;BMP7;SPTBN4;NOTCH1
1084,GO:0008091,0.0232753971477338,1,3,3,spectrin,CC,SPTBN5;SPTB;SPTBN4
2034,GO:0030506,0.0232756960454968,1,3,3,ankyrin binding,MF,CDH1;SPTB;SPTBN4
2514,GO:0032984,0.0234731740747198,0.997209629093093,5,7,macromolecular complex disassembly,BP,SCIN;AXIN1;SPTBN5;SPTB;SPTBN4
3128,GO:0043241,0.0234731740747198,0.997209629093093,5,7,protein complex disassembly,BP,SCIN;AXIN1;SPTBN5;SPTB;SPTBN4
894,GO:0006935,0.0243247623841158,0.991006942554502,15,31,chemotaxis,BP,PIK3CG;WNT3;SPTBN5;SPTB;FGF8;ARTN;AMOT;CCL20;HRAS;BMP4;GDNF;PIK3CA;BMP7;SPTBN4;NOTCH1
2963,GO:0042330,0.0243247623841158,0.991006942554502,15,31,taxis,BP,PIK3CG;WNT3;SPTBN5;SPTB;FGF8;ARTN;AMOT;CCL20;HRAS;BMP4;GDNF;PIK3CA;BMP7;SPTBN4;NOTCH1
1021,GO:0007420,0.0244659276250824,0.992512146785007,11,21,brain development,BP,WNT7A;WNT3;WNT7B;AXIN1;POU3F1;WNT2;CDH1;FGF8;BMP4;BMP7;NOTCH1
3246,GO:0043902,0.0246646976724273,1,3,3,positive regulation of multi-organism process,BP,BMP6;INHBB;NOTCH1
4716,GO:0061383,0.0256114468952691,1,3,3,trabecula morphogenesis,BP,HEY1;BMP7;NOTCH1
4717,GO:0061384,0.0256114468952691,1,3,3,heart trabecula morphogenesis,BP,HEY1;BMP7;NOTCH1
429,GO:0003206,0.0258315751454261,0.995787156022125,6,9,cardiac chamber morphogenesis,BP,HEY1;WNT2;FGF8;BMP4;BMP7;NOTCH1
2094,GO:0030835,0.0261851638074238,0.998116271643299,4,5,negative regulation of actin filament depolymerization,BP,SCIN;SPTBN5;SPTB;SPTBN4
3129,GO:0043242,0.0261851638074238,0.998116271643299,4,5,negative regulation of protein complex disassembly,BP,SCIN;SPTBN5;SPTB;SPTBN4
5647,GO:1901880,0.0261851638074238,0.998116271643299,4,5,negative regulation of protein depolymerization,BP,SCIN;SPTBN5;SPTB;SPTBN4
1935,GO:0030041,0.0261852019949925,0.998116267922169,4,5,actin filament polymerization,BP,SCIN;SPTBN5;SPTB;SPTBN4
2092,GO:0030833,0.0261852019949925,0.998116267922169,4,5,regulation of actin filament polymerization,BP,SCIN;SPTBN5;SPTB;SPTBN4
2096,GO:0030837,0.0261852019949925,0.998116267922169,4,5,negative regulation of actin filament polymerization,BP,SCIN;SPTBN5;SPTB;SPTBN4
2192,GO:0031333,0.0261852019949925,0.998116267922169,4,5,negative regulation of protein complex assembly,BP,SCIN;SPTBN5;SPTB;SPTBN4
2330,GO:0032272,0.0261852019949925,0.998116267922169,4,5,negative regulation of protein polymerization,BP,SCIN;SPTBN5;SPTB;SPTBN4
2039,GO:0030513,0.0268503679804941,1,3,3,positive regulation of BMP signaling pathway,BP,CRB2;BMP4;NOTCH1
3481,GO:0045606,0.0268503803712213,1,3,3,positive regulation of epidermal cell differentiation,BP,VDR;BMP4;NOTCH1
1235,GO:0009755,0.0269112763011233,1,3,3,hormone-mediated signaling pathway,BP,VDR;BMP4;BMP7
3166,GO:0043401,0.0269112763011233,1,3,3,steroid hormone mediated signaling pathway,BP,VDR;BMP4;BMP7
5051,GO:0072044,0.0269503168191267,1,3,3,collecting duct development,BP,WNT7B;BMP4;NOTCH1
3426,GO:0045165,0.0270090277460586,0.991582019561823,11,21,cell fate commitment,BP,WNT7A;WNT3;WNT7B;JAG2;AXIN1;WNT2;FZD7;FGF8;WNT5B;BMP4;NOTCH1
1708,GO:0017145,0.0271608887349895,1,3,3,stem cell division,BP,WNT7A;FZD7;NOTCH1
3740,GO:0048103,0.0271608887349895,1,3,3,somatic stem cell division,BP,WNT7A;FZD7;NOTCH1
3872,GO:0048704,0.0273548925809847,1,3,3,embryonic skeletal system morphogenesis,BP,AXIN1;BMP4;BMP7
4410,GO:0060272,0.0273548925809847,1,3,3,embryonic skeletal joint morphogenesis,BP,AXIN1;BMP4;BMP7
5173,GO:0072498,0.0273548925809847,1,3,3,embryonic skeletal joint development,BP,AXIN1;BMP4;BMP7
1711,GO:0017156,0.0278434573811987,1,3,3,calcium ion regulated exocytosis,BP,SCIN;SYT5;NOTCH1
3170,GO:0043407,0.0288177203773207,1,3,3,negative regulation of MAP kinase activity,BP,DUSP5;BMP4;BMP7
3858,GO:0048663,0.0290164117628324,0.997834756319395,4,5,neuron fate commitment,BP,JAG2;AXIN1;BMP4;NOTCH1
671,GO:0005794,0.0291907858965559,0.988786418512937,15,32,Golgi apparatus,CC,WNT7A;WNT3;WNT7B;CDH1;RAB39A;SPTB;WNT5B;PKN3;HRAS;RNF144A;RAB38;FSTL3;NOTCH1;RND3;RAB20
4563,GO:0060711,0.0292146539404039,0.997814630268937,4,5,labyrinthine layer development,BP,HEY1;WNT7B;WNT2;BMP7
