,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,foreground_genes
16771,GO:0071944,1.70560321960249e-21,1,140,5014,cell periphery,CC,ITGA3;ITGA5;ADRA2B;ADRA2C;SYT5;WNT3;WNT2;WNT4;ACTN2;TSPAN15;TSPAN17;NOTCH1;GLDC;RAB27A;CDH23;STRA6;TF;IGSF8;ITGB5;ITGB4;ITGB8;CRB2;DHH;DSC2;SERPINA5;WNT6;WNT7A;WNT7B;SLC52A3;ACVR1;NMT2;GUCY1B3;ADORA1;CASQ2;PLAU;RAB40B;RAB40A;PRKACB;KCNK6;MFGE8;FLVCR2;SPTBN5;SPTBN4;TTYH1;MPZL1;RRAS2;TSPAN13;RAB39B;RAB39A;PRND;FZD7;TYRO3;LPAR2;LIMS2;CDH2;FGF10;PIK3R1;CGN;PDGFB;KCNH2;PRKAR1B;PLEKHH2;PTPN7;FRMPD1;RALB;TJP3;HRAS;WNT5B;WNT5A;JAM3;SNX18;AXIN1;RHOQ;RHOJ;RHOB;NPR1;SCIN;FGF8;SDC4;SPTB;HBEGF;LGALS4;BMP2;DLL1;RAB20;DRP2;SLC2A14;VAMP1;MSN;DDR1;DSG3;CTGF;GJB1;GJB2;GJB6;RRAD;AKT1;PKP3;PKP1;RAB17;CYTIP;KITLG;SEMA6C;JAG2;CDH1;EPN1;MYO7A;BCAR1;INHBB;GJA3;RAB44;CLDN1;CLDN2;CLDN3;CLDN5;PIK3CA;PIK3CG;KCNG2;LZTS1;CLDN23;SHC4;SLC18B1;DSC3;GPSM1;AMOT;KCND1;TSPAN2;RAB38;RAB3D;MYZAP;FZD8;CLDN12;CLDN11;CLDN16;CLDN15;CLDN18;RNF144A;PARVB;EFNB2;PDE4B
2856,GO:0005886,1.02135143355972e-20,1,137,4920,plasma membrane,CC,ITGA3;ITGA5;ADRA2B;ADRA2C;SYT5;WNT3;WNT2;WNT4;ACTN2;TSPAN15;TSPAN17;NOTCH1;GLDC;RAB27A;CDH23;STRA6;TF;IGSF8;ITGB5;ITGB4;ITGB8;CRB2;DHH;DSC2;SERPINA5;WNT6;WNT7A;WNT7B;SLC52A3;ACVR1;NMT2;GUCY1B3;ADORA1;CASQ2;PLAU;RAB40B;RAB40A;PRKACB;KCNK6;MFGE8;FLVCR2;SPTBN5;SPTBN4;TTYH1;MPZL1;RRAS2;TSPAN13;RAB39B;RAB39A;PRND;FZD7;TYRO3;LPAR2;LIMS2;CDH2;FGF10;PIK3R1;CGN;PDGFB;KCNH2;PRKAR1B;PLEKHH2;PTPN7;FRMPD1;RALB;TJP3;HRAS;WNT5B;WNT5A;JAM3;SNX18;AXIN1;RHOQ;RHOJ;RHOB;NPR1;FGF8;SDC4;SPTB;HBEGF;LGALS4;BMP2;DLL1;RAB20;DRP2;SLC2A14;VAMP1;MSN;DDR1;DSG3;CTGF;GJB1;GJB2;GJB6;RRAD;AKT1;PKP3;PKP1;RAB17;KITLG;SEMA6C;JAG2;CDH1;EPN1;MYO7A;BCAR1;GJA3;RAB44;CLDN1;CLDN2;CLDN3;CLDN5;PIK3CA;PIK3CG;KCNG2;LZTS1;CLDN23;SHC4;SLC18B1;DSC3;GPSM1;AMOT;KCND1;TSPAN2;RAB38;RAB3D;MYZAP;FZD8;CLDN12;CLDN11;CLDN16;CLDN15;CLDN18;RNF144A;PARVB;EFNB2;PDE4B
4668,GO:0009888,2.08698920060688e-19,1,76,1837,tissue development,BP,ITGA3;ITGA5;ARTN;TAGLN;FHOD3;LIF;WNT3;WNT2;WNT4;POU3F1;ACTN3;ACTN2;NOTCH1;STRA6;IGSF8;ITGB5;ITGB4;ITGB8;CRB2;DSC2;WNT6;WNT7A;WNT7B;ZFPM1;ACVR1;EDN1;PRKACB;FZD7;CDH2;FGF10;PDGFB;WNT5B;WNT5A;AXIN1;RHOB;SCIN;FGF8;SDC4;HBEGF;BMP7;BMP6;BMP4;BMP2;WT1;CDKN1A;DLL1;WNK4;MSN;DDR1;DSG3;CTGF;GJB2;AKT1;PKP3;PKP1;NRTN;WNT2B;KITLG;NPPC;NAB2;JAG2;MYO7A;CLDN1;CLDN3;CLDN5;PIK3CA;GAS6;MYH11;DSC3;VDR;LAMA5;GDNF;DUSP5;HEY1;ACTA2;EFNB2
3663,GO:0007155,2.02886776012397e-18,1,64,1311,cell adhesion,BP,ITGA3;ITGA5;WNT4;ACTN3;ACTN2;NOTCH1;CDH23;ITGB5;ITGB4;ITGB8;DSC2;WNT7B;ACVR1;PLAU;MFGE8;TTYH1;FZD7;TYRO3;LIMS2;CDH2;FSTL3;PIK3R1;WNT5A;JAM3;RHOB;SDC4;LGALS4;BMP7;BMP4;BMP2;CAMSAP3;DLL1;RND3;MSN;DDR1;DSG3;CTGF;AKT1;PKP3;PKP1;CYTIP;KITLG;JAG2;CDH1;BCAR1;CLDN1;CLDN2;CLDN3;CLDN5;PIK3CA;PIK3CG;GAS6;HAPLN3;CLDN23;DSC3;LAMA1;LAMA5;CLDN12;CLDN11;CLDN16;CLDN15;CLDN18;PARVB;EFNB2
7112,GO:0022610,2.66313490488832e-18,1,64,1318,biological adhesion,BP,ITGA3;ITGA5;WNT4;ACTN3;ACTN2;NOTCH1;CDH23;ITGB5;ITGB4;ITGB8;DSC2;WNT7B;ACVR1;PLAU;MFGE8;TTYH1;FZD7;TYRO3;LIMS2;CDH2;FSTL3;PIK3R1;WNT5A;JAM3;RHOB;SDC4;LGALS4;BMP7;BMP4;BMP2;CAMSAP3;DLL1;RND3;MSN;DDR1;DSG3;CTGF;AKT1;PKP3;PKP1;CYTIP;KITLG;JAG2;CDH1;BCAR1;CLDN1;CLDN2;CLDN3;CLDN5;PIK3CA;PIK3CG;GAS6;HAPLN3;CLDN23;DSC3;LAMA1;LAMA5;CLDN12;CLDN11;CLDN16;CLDN15;CLDN18;PARVB;EFNB2
13381,GO:0048731,5.05165734849293e-18,1,123,4323,system development,BP,ITGA3;ITGA5;ARTN;TAGLN;FHOD3;LIF;ADRA2B;ADRA2C;WNT3;WNT2;WNT4;POU3F1;ACTN3;ACTN2;NOTCH1;MARK4;CDH23;STRA6;IGSF8;ITGB4;ITGB8;CRB2;CRISPLD2;DHH;DSC2;SERPINA5;WNT6;WNT7A;WNT7B;ZFPM1;ACVR1;ADORA1;DKK3;EDN1;PRKACB;MFGE8;SPTBN5;SPTBN4;MAPK12;FZD7;TYRO3;LIMS2;CDH2;FSTL3;FGF10;FGF17;PIK3R1;PDGFB;FOXO4;HRAS;WNT5B;WNT5A;JAM3;AXIN1;RHOJ;RHOB;NPR1;PFKFB3;SCIN;FGF8;SDC4;CLCF1;SPTB;HBEGF;BMP7;BMP6;BMP4;BMP2;CAMSAP3;B3GNT2;WT1;CDKN1A;DLL1;DRP2;SFXN1;WNK4;MSN;DDR1;DSG3;CTGF;GJB1;GJB2;GJB6;TPD52;AKT1;PKP3;PKP1;RAB17;NRTN;WNT2B;KITLG;SEMA6C;NPPC;NAB2;JAG2;CDH1;EPN1;MYO7A;INHBB;TLE1;CLDN1;CLDN5;PIK3CA;PIK3CG;GAS6;HAPLN3;MYH11;LZTS1;DSC3;GPSM1;VDR;AMOT;LAMA5;UNC119;TSPAN2;GDNF;ACSL4;FZD8;HEY1;ACTA2;CLDN11;CLDN18;EFNB2
11868,GO:0044707,3.59394684519993e-17,1,146,5907,single-multicellular organism process,BP,ITGA3;ITGA5;ARTN;TAGLN;FHOD3;LIF;ADRA2B;ADRA2C;WNT3;WNT2;WNT4;POU3F1;ACTN3;ACTN2;NOTCH1;MARK4;RAB27A;CDH23;STRA6;TF;IGSF8;ITGB5;ITGB4;ITGB8;CRB2;CRISPLD2;DHH;DSC2;SERPINA5;WNT6;WNT7A;WNT7B;ZFPM1;ACVR1;ADORA1;CASQ2;DKK3;EDN1;PLAU;PRKACB;KCNK6;MFGE8;CCL20;SPTBN5;SPTBN4;RRAS2;MAPK12;FZD7;TYRO3;LIMS2;CDH2;FSTL3;FGF10;FGF17;PIK3R1;PDGFB;KCNH2;PRKAR1B;FOXO4;HRAS;WNT5B;WNT5A;JAM3;AXIN1;RHOJ;RHOB;NPR1;PFKFB3;SCIN;FGF8;SDC4;CLCF1;SPTB;HBEGF;BMP7;BMP6;BMP4;BMP2;CAMSAP3;B3GNT2;DAAM2;WT1;CDKN1A;DLL1;PKN3;DRP2;SLC2A14;SFXN1;WNK4;CHGA;MSN;DDR1;DSG3;CTGF;GJB1;GJB2;GJB6;TPD52;AKT1;PKP3;PKP1;RAB17;NRTN;WNT2B;KITLG;SEMA6C;NPPC;NAB2;JAG2;CDH1;EPN1;MYO7A;BCAR1;INHBB;TLE1;CLDN1;CLDN5;PIK3CA;PIK3CG;RAB11FIP1;GAS6;HAPLN3;DTX4;MYH11;LZTS1;DSC3;GPSM1;VDR;AMOT;LAMA1;LAMA5;ARAF;UNC119;KCND1;TSPAN2;RAB3D;GDNF;ACSL4;FZD8;DUSP5;HEY1;ACTA2;CLDN11;CLDN18;EFNB2;PDE4B
3751,GO:0007275,1.29726210427101e-16,1,129,4864,multicellular organism development,BP,ITGA3;ITGA5;ARTN;TAGLN;FHOD3;LIF;ADRA2B;ADRA2C;WNT3;WNT2;WNT4;POU3F1;ACTN3;ACTN2;NOTCH1;MARK4;CDH23;STRA6;IGSF8;ITGB5;ITGB4;ITGB8;CRB2;CRISPLD2;DHH;DSC2;SERPINA5;WNT6;WNT7A;WNT7B;ZFPM1;ACVR1;ADORA1;DKK3;EDN1;PRKACB;MFGE8;SPTBN5;SPTBN4;MAPK12;FZD7;TYRO3;LIMS2;CDH2;FSTL3;FGF10;FGF17;PIK3R1;PDGFB;FOXO4;HRAS;WNT5B;WNT5A;JAM3;AXIN1;RHOJ;RHOB;NPR1;PFKFB3;SCIN;FGF8;SDC4;CLCF1;SPTB;HBEGF;BMP7;BMP6;BMP4;BMP2;CAMSAP3;B3GNT2;DAAM2;WT1;CDKN1A;DLL1;DRP2;SLC2A14;SFXN1;WNK4;MSN;DDR1;DSG3;CTGF;GJB1;GJB2;GJB6;TPD52;AKT1;PKP3;PKP1;RAB17;NRTN;WNT2B;KITLG;SEMA6C;NPPC;NAB2;JAG2;CDH1;EPN1;MYO7A;INHBB;TLE1;CLDN1;CLDN5;PIK3CA;PIK3CG;GAS6;HAPLN3;MYH11;LZTS1;DSC3;GPSM1;VDR;AMOT;LAMA1;LAMA5;ARAF;UNC119;TSPAN2;GDNF;ACSL4;FZD8;DUSP5;HEY1;ACTA2;CLDN11;CLDN18;EFNB2
13379,GO:0048729,1.32624531001154e-16,1,41,607,tissue morphogenesis,BP,ITGA3;ITGA5;ARTN;LIF;WNT3;WNT2;WNT4;NOTCH1;ITGB4;CRB2;WNT6;WNT7A;WNT7B;ZFPM1;ACVR1;EDN1;PRKACB;FZD7;FGF10;WNT5A;AXIN1;RHOB;FGF8;SDC4;HBEGF;BMP7;BMP4;BMP2;WT1;DLL1;WNK4;MSN;DDR1;WNT2B;JAG2;VDR;LAMA5;GDNF;HEY1;ACTA2;EFNB2
7211,GO:0030054,2.39472521545746e-16,1,57,1164,cell junction,CC,ITGA3;ITGA5;TMEM163;SYT5;ACTN3;ACTN2;NOTCH1;ITGB5;ITGB4;DSC2;PLAU;SPTBN4;MPZL1;RRAS2;LIMS2;CDH2;PIK3R1;CGN;TJP3;JAM3;RHOB;SCIN;SDC4;CAMSAP3;DLL1;DRP2;VAMP1;WNK4;RND3;MSN;DSG3;GJB1;GJB2;GJB6;AKT1;PKP3;PKP1;CDH1;BCAR1;GJA3;CLDN1;CLDN2;CLDN3;CLDN5;LZTS1;CLDN23;SHC4;DSC3;AMOT;MYZAP;CLDN12;CLDN11;CLDN16;CLDN15;CLDN18;PARVB;EFNB2
